Sample	posterior	likelihood	networkPrior	parametersPrior	network.height	network.totalLength	network.reassortmentNodeCount	seg1tree.height	seg1tree.treeLength	seg2tree.height	seg2tree.treeLength	seg3tree.height	seg3tree.treeLength	seg4tree.height	seg4tree.treeLength	seg5tree.height	seg5tree.treeLength	seg6tree.height	seg6tree.treeLength	seg7tree.height	seg7tree.treeLength	seg8tree.height	seg8tree.treeLength	reassortmentRate	popSize	logNe.1	logNe.2	logNe.3	logNe.4	logNe.5	logNe.6	logNe.7	logNe.8	logNe.9	logNe.10	logNe.11	logNe.12	logNe.13	logNe.14	logNe.15	logNe.16	logNe.17	logNe.18	logNe.19	logNe.20	InfectedToRho.1	InfectedToRho.2	InfectedToRho.3	InfectedToRho.4	InfectedToRho.5	InfectedToRho.6	InfectedToRho.7	InfectedToRho.8	InfectedToRho.9	InfectedToRho.10	InfectedToRho.11	InfectedToRho.12	InfectedToRho.13	InfectedToRho.14	InfectedToRho.15	InfectedToRho.16	InfectedToRho.17	InfectedToRho.18	InfectedToRho.19	InfectedToRho.20	sigma	sigma2	clockRate.c	mutationRate.s:seg1	gammaShape.s:seg1	freqParameter.s:seg1.1	freqParameter.s:seg1.2	freqParameter.s:seg1.3	freqParameter.s:seg1.4	kappa.s:seg1	mutationRate.s:seg2	gammaShape.s:seg2	freqParameter.s:seg2.1	freqParameter.s:seg2.2	freqParameter.s:seg2.3	freqParameter.s:seg2.4	kappa.s:seg2	mutationRate.s:seg3	gammaShape.s:seg3	freqParameter.s:seg3.1	freqParameter.s:seg3.2	freqParameter.s:seg3.3	freqParameter.s:seg3.4	kappa.s:seg3	mutationRate.s:seg4	gammaShape.s:seg4	freqParameter.s:seg4.1	freqParameter.s:seg4.2	freqParameter.s:seg4.3	freqParameter.s:seg4.4	kappa.s:seg4	mutationRate.s:seg5	gammaShape.s:seg5	freqParameter.s:seg5.1	freqParameter.s:seg5.2	freqParameter.s:seg5.3	freqParameter.s:seg5.4	kappa.s:seg5	mutationRate.s:seg6	gammaShape.s:seg6	freqParameter.s:seg6.1	freqParameter.s:seg6.2	freqParameter.s:seg6.3	freqParameter.s:seg6.4	kappa.s:seg6	mutationRate.s:seg7	gammaShape.s:seg7	freqParameter.s:seg7.1	freqParameter.s:seg7.2	freqParameter.s:seg7.3	freqParameter.s:seg7.4	kappa.s:seg7	mutationRate.s:seg8	gammaShape.s:seg8	freqParameter.s:seg8.1	freqParameter.s:seg8.2	freqParameter.s:seg8.3	freqParameter.s:seg8.4	kappa.s:seg8	
0	-141053.27925282472	-136579.85768726605	-4384.622663559184	-88.79890199948704	532.170345619124	4173.962295095645	305	66.87378918926167	449.5354354862554	295.32851472748075	1821.337507067162	36.17019012448872	375.5922463441417	139.54274867435123	644.2257193036547	36.17019012448872	446.3644731750679	36.17019012448872	439.282799754922	50.2512857314461	510.92334982159883	36.17019012448872	461.83517939717143	0.1211	1.0293	2.131605374006912	2.723996610456075	1.202732054244094	0.40700461420749373	2.1272985992902056	4.417094362903475	2.0100208135309434	4.151380838618197	4.425841522108647	5.118582344647307	3.6966148762011115	3.4279116410160126	2.340983627323717	3.4056123874324484	3.6686087563067007	4.284964786039567	3.7685992896803806	4.645904599841216	4.613950638475723	5.582433113712916	-3.298039083094851	-5.937551643413988	-1.1118138734921779	-0.7154747129845331	-6.513751258155381	-6.787822543040402	-0.3131783771540631	-4.6847431759441145	-7.594500270491448	-7.142968798104443	-5.534148290227908	-5.5889277656906255	0.12796742519191268	-7.067934223092456	-3.0230413766233446	-7.386044395584279	-5.707693760644785	-6.181610627280257	-9.253483099714368	-8.836349857815367	1.3276698447699435	4.1956116996662915	0.0035	1.0352401101522293	0.3439622975961559	0.3655799377687265	0.2033217903173425	0.18643155016389298	0.24466672175003795	10.35739860484408	1.2202891811158219	0.652161516092539	0.33589096590644574	0.21784343137642256	0.19179322273610308	0.2544723799810287	6.713864990606106	0.7404028307879285	0.16322014394038398	0.3117470359949869	0.22207972525797728	0.24636909513630925	0.21980414361072667	12.59448061279241	0.8238966942451039	0.4843903365733153	0.36127838609414714	0.20831637547699938	0.20162930783247054	0.22877593059638288	7.344691562232364	0.8952567762636733	0.22814865879991406	0.3477745258571492	0.1971269617682094	0.2250648780246744	0.23003363434996701	11.449293902487392	1.0154911144705336	0.2724341338625788	0.36322955403870205	0.2081280635275074	0.19831443216693817	0.2303279502668522	12.547290472634252	0.9781406303582946	0.29152797007088904	0.34616310350310164	0.19856969941717367	0.21814351139636293	0.23712368568336165	11.187536340536058	1.0842521402207959	0.2896723522072047	0.3248956160038488	0.21986267350653763	0.2054861922693657	0.24975551822024783	12.656798743420696	
50000	-141217.12826443563	-136486.59410152322	-4657.686153790292	-72.84800912210794	901.8378912031087	4985.744594759868	327	62.82153657461473	426.62377544972065	273.96322675748434	1705.2708831375628	37.217325339284805	379.101091897162	150.64419303647648	615.9405922976101	37.217325339284805	443.45454474528606	37.217325339284805	427.9856749048849	51.27546814602758	522.2664268113342	37.217325339284805	462.2894516275669	0.1211	1.0293	2.3500877757731287	2.494863231375147	1.0343233210043667	1.4740850557456533	2.6203847858663223	3.760048591591774	2.3965552151527727	4.153268288692262	5.347094540033828	4.787229447676634	3.6219753680158338	3.4789925863294546	2.364775855315205	3.4149678043172815	3.5775189318220595	3.6901189946572313	4.404213187415009	4.530327288573815	4.55621214423343	5.460644876918556	-9.898852845966742	-4.976981934881315	-1.3724068710823318	-2.0244436094884586	-6.107236834710752	-5.199001436602459	-1.283976850764902	-2.6837796578572375	-8.436674256453394	-6.474007898678719	-5.812354728704731	-4.173697387442033	-1.9733650084694199	-2.067599760787052	-3.444050426247918	-5.040786966896692	-4.776258091006665	-7.105722828043912	-9.049558168914894	-8.270746635437797	0.969044375792241	2.3463163803589464	0.0035	0.9856588675814857	0.29467103491925384	0.35688148934319097	0.19875576978587098	0.19251412797307152	0.2518486128978666	10.916459464747847	1.3133293707764322	0.650139247717073	0.32271556535324836	0.218868095453415	0.19937086483810584	0.2590454743552306	6.205788600924453	0.7047557163870339	0.16012898908749476	0.31836961847636064	0.20399873409284336	0.25253307343744047	0.22509857399335567	12.92410024481882	0.9973181052182708	0.4145731610575768	0.3631050128201565	0.2055108449512273	0.19898357101062472	0.2324005712179916	9.06724682851187	0.8728569133182481	0.23194040142638656	0.34608005500794325	0.19847019866315946	0.22278303743253322	0.232666708896364	13.082221277356277	1.0715378833899232	0.26415059740190716	0.3500278413300432	0.21983792845295397	0.19851979030469744	0.23161443991230543	13.780703406659901	0.9341470799412744	0.2673088645790895	0.35290525755209967	0.1997698175190611	0.21218970732778833	0.23513521760105088	11.31677960264517	1.0098967762768627	0.2823928899856199	0.3417778134357669	0.22147131561146358	0.1970939960825372	0.2396568748702324	13.820475450815472	
100000	-141240.89366146456	-136512.3207653234	-4647.375885945299	-81.19701019585587	928.8500798796395	4881.8726893448	328	62.07199727257134	432.67555548288817	280.3863810112098	1699.3798069264365	36.30599560880612	386.5791653370105	172.3709124123507	662.3107827678222	36.30599560880612	445.01803888563484	36.30599560880612	430.8928841355134	51.94793511580187	534.3579713097546	36.30599560880612	471.9247316949777	0.1211	1.0293	0.7293871188419879	2.6594503783246286	0.9854551170901583	1.1890167102189713	1.5041181358799969	4.226956753101589	2.3716730866929012	3.59524860756574	4.67815940076041	4.836123881127762	3.590489764854953	3.60270313322159	2.3213529256623655	3.796433679030044	3.6421073629903686	3.9864483242115303	4.301202907382623	4.525013592260859	4.100421723835089	5.8352082127944	-3.114114246934977	-5.665883294542168	-1.7885846244692936	-1.3535518637423876	-6.110653751068826	-6.494487988347024	-1.2695061104205836	-2.135016925197031	-8.229750621737079	-9.163439961401943	-5.665931432302557	-4.9782242938542645	-1.622985960800405	-2.7780257717631938	-3.788975666114933	-5.189280804100319	-4.806658482549228	-6.951272936372276	-8.381073390736777	-8.47967986282104	1.5306840843104532	2.526787443287178	0.0035	1.04969519355031	0.38012466717418447	0.33210128902431846	0.2161188927642079	0.19248362100826516	0.2592961972032084	10.67852254934183	1.3118279699843325	0.6955659076061405	0.3306500362077243	0.2148547435917655	0.20151406851421297	0.2529811516862972	6.216844363545127	0.6830531778339641	0.1663557090345252	0.32732294930126205	0.20821765542608275	0.24706815941447502	0.2173912358581801	12.296298562525148	1.0072486486545729	0.41792215834422763	0.35561057172126753	0.21507103215418416	0.20819373869028765	0.22112465743426063	9.755426587025891	0.9307557736622168	0.22561302778889833	0.35377570993233537	0.20202965772469678	0.21128163808761818	0.2329129942553497	12.259051052780015	0.9982128806655974	0.2442774902205335	0.35245985463566853	0.21707344559705324	0.20897096021110395	0.22149573955617421	13.81623711309645	0.8989219768125735	0.27565116334005135	0.35509930315852467	0.20128368993392157	0.2050398725533347	0.2385771343542191	11.219351932012396	1.0408214673964913	0.3107400282986416	0.33824625682844445	0.2231339081170467	0.2022939615997877	0.236325873454721	13.454012495896235	
150000	-141153.33043516532	-136559.67918279025	-4511.881722540063	-81.7695298350221	722.586035019784	4636.573469121007	308	62.27641575510171	439.83607676563355	266.9486251783122	1693.3802600951976	31.943557025396977	358.8470913992731	147.8424086926679	631.5837983139719	36.52452701834812	440.06392828960077	36.52452701834812	424.14774879037975	49.38361962630579	500.21618595657134	36.52452701834812	450.00770127995105	0.1211	1.0293	1.7756799298505328	2.7761446761461395	0.5551359201043404	0.8283283266856079	1.4900425336586558	3.6526935062599817	2.5774235211218515	4.105966711028382	4.3637517487116915	4.53902510551117	3.6186603467052603	3.3233153940646125	2.313515135730134	3.920880186329694	3.329140476438187	3.713379974800913	4.468557523812078	5.23771102936044	4.585812692680293	5.681058191370902	-6.022092514230795	-4.410691378113264	-0.559941995691515	-2.4584612352924444	-7.360532247400821	-4.52814128837086	-1.4738757056696221	-3.652375212448081	-6.423960728590248	-5.981600951688355	-4.4538050866372085	-6.377290956698048	0.1498313099123547	-6.083382609806426	-3.27626639447397	-4.98346335814541	-5.540483507546191	-9.772146476175102	-7.350766511660591	-8.048021696756834	1.2758893798030604	3.2703090258782654	0.0035	1.0774976321584115	0.3490178299846982	0.3541499736167235	0.2053311169648827	0.1952888754385557	0.24523003397983814	10.202807083220387	1.2250173899240326	0.6537769934913337	0.3276293395727476	0.2155948467687751	0.20775832734304087	0.24901748631543635	5.783660544517828	0.7600225756990592	0.19234371384294635	0.31081915867415505	0.20558877428945543	0.24817006610774575	0.23542200092864388	13.587371969052846	0.8712888290332804	0.4300488907935571	0.34532375574204643	0.2080932738751214	0.19856634005989046	0.24801663032294177	7.681752452064843	0.887059931125769	0.2418938190018136	0.3353966454347578	0.21363525801088235	0.22071142770174418	0.23025666885261567	11.984314943263906	0.9555398393976752	0.25783714486101433	0.3476911872741821	0.20392505906214176	0.20690809305325558	0.24147566061042064	14.168744158861783	1.0234610622263025	0.2963566537070511	0.3554700686497644	0.19148198561124075	0.22216591658084933	0.23088202915814549	12.219664674289714	1.0410823032956136	0.26725651946484175	0.344268306100721	0.20631362698815825	0.20990390279224097	0.23951416411887974	13.401101758579081	
200000	-141185.86596989929	-136529.68615314274	-4573.9471107953095	-82.23270596124715	552.3726045921578	4286.995207999635	319	60.0574411685718	420.15024316150516	266.9669963352143	1650.189879621523	34.1437426081591	372.3458823540973	139.90089654015208	597.4659675030323	34.1437426081591	429.00150081142806	34.1437426081591	418.0208646951019	47.804184950378755	501.5891687662645	34.1437426081591	450.1371111837492	0.1211	1.0293	2.0719349556674236	2.535878967096668	0.9515847319115627	1.297693647987572	1.6051930025626664	3.927283774167408	2.28697291720118	4.307015981675452	4.925500584429124	4.8534271134112865	3.0710220216777073	3.6408911771575507	2.0419447889051856	4.325206857356254	3.471542371716015	3.6996865165764308	4.072300037612716	4.36101936319437	5.467347988160042	5.637054169863655	-4.084843261941142	-5.574895201070618	-1.6649027866103683	-1.984906439746681	-3.4661806562354465	-6.7735295494711885	-1.0518474997952423	-2.713709905343562	-8.58682892874292	-5.668967182849668	-6.07683009306762	-4.999520201447838	-0.8118901501692672	-3.778019436453452	-2.9965184876643063	-5.799853566752289	-4.773282770759748	-8.62288018659135	-8.676116030822294	-8.179345081986499	1.4784399699952608	2.8566214860117576	0.0035	1.0064737486728632	0.3511425180734243	0.36297495604136226	0.18712628410969379	0.19343344192369724	0.2564653179252466	10.626123405124117	1.3317102457328107	0.658963603594643	0.33739768664201014	0.2212341427205509	0.20305053758098843	0.23831763305645057	6.48061015039541	0.7153095128858267	0.17898724719196152	0.3133540852164209	0.22230053822672466	0.24292236532557004	0.22142301123128447	12.454960415717746	0.9866735217892469	0.40869106106683034	0.35184486331566456	0.21324986657235215	0.20657357280466385	0.22833169730731928	8.27231011220607	0.9117741880506338	0.22983226907308335	0.36413088862805787	0.1976401848549378	0.2193293112825754	0.21889961523442888	11.168949413225567	1.0156202448071128	0.2620287215258298	0.3525037897453703	0.21747508005637042	0.2050101116576512	0.22501101854060804	12.510278466864037	0.9323276722798028	0.2672698485711394	0.35327015247648835	0.20044300636267887	0.2120948028360259	0.23419203832480684	11.581166524701963	1.013791919707338	0.2586062680815296	0.33469881129727475	0.21323969557288708	0.20171091402810845	0.2503505791017297	12.168952151474832	
250000	-141110.41100217076	-136487.74591367264	-4538.731094774976	-83.9339937231573	723.517330720591	4592.086929437804	318	60.23054023783644	428.9316761191419	263.4187448652076	1643.6948961785358	36.77393324080726	381.53549679348606	140.62443887315436	604.2131614825282	36.77393324080726	440.33348886653914	36.77393324080726	428.4342500873821	49.58788106849569	509.74736075711644	36.77393324080726	463.3130183199176	0.1211	1.0293	0.301135950054993	2.526033195510892	1.2048504363197032	0.9401916114217884	1.9892769884774226	4.237341236890112	2.2120290405868617	4.211762494299136	4.642692669427314	5.283560570163023	3.600718831985373	3.6291242014698906	2.2682482078912782	3.543768944304485	3.3167562669000556	4.023165532275985	5.516547182415525	4.8544283354583495	4.258197489253761	5.758386692640279	-5.178779281889497	-5.35317104412628	-1.3906691247434064	-1.6864327189222141	-3.769759812842894	-8.367294314618825	-0.8913191730792704	-2.792473827375315	-8.360511143279258	-6.5921458579464645	-6.508360693710714	-5.840882280439033	-0.9721974638170342	-2.4729501184990923	-3.3920282040716474	-5.246999844210353	-6.266915413901674	-6.3641328199621165	-6.90622548925638	-8.733133338300842	1.068428199466503	2.6610756525798585	0.0035	1.035863452785653	0.3454120963781123	0.35769837879838445	0.20398781682086986	0.18409525782188235	0.25421854655886333	11.457507599469901	1.3068641283906335	0.6971725907968213	0.33273874964381556	0.2227158756385022	0.19306155313147358	0.25148382158620863	6.416524669829779	0.6812779213538105	0.16291596967659075	0.3360520121883201	0.20111320786388306	0.2297236999355755	0.2331110800122214	12.769622228657655	0.9656722783766546	0.47268549967992035	0.35592004552377177	0.2095759381513172	0.20287412461728502	0.23162989170762593	6.767326512697733	0.8528208862138256	0.21273970229727132	0.34440231640336894	0.19845291036272633	0.22264476371562178	0.2345000095182829	11.702081991819922	1.0454008545645312	0.2726685210338379	0.3493214992737481	0.21117068798076308	0.20136475710542753	0.23814305564006114	13.296332466757299	0.933076585555878	0.2874348698080144	0.34717850871047456	0.21281603569581867	0.20318533121118837	0.23682012438251848	12.035732343340252	1.0404214456183405	0.2832792008296589	0.34323896575359697	0.21539054156875026	0.1951163683516701	0.24625412432598268	13.67046727277624	
300000	-141075.92278572443	-136521.5113622227	-4477.070210368664	-77.34121313307901	609.9824508835744	3731.896145500808	314	61.73154928625427	425.1296762537597	259.7394619210363	1612.9690732859774	36.059385613704556	372.03816595585874	137.0221818083135	590.0722373178812	36.059385613704556	433.51253105387025	36.059385613704556	420.5249825796006	47.31775687236491	495.6283805311323	36.059385613704556	457.0292195806943	0.1211	1.0293	1.7912280374861318	2.68345200566045	0.7392499182363955	1.2443269685142544	1.8270189680559474	3.5690169455931553	2.6517703498035923	4.26274070242422	4.618456049288421	4.739895590905924	3.521968208987111	3.2955654234353	2.4763309971107876	3.4745999497732316	3.5087817616331294	3.3542336034824847	4.582851990063653	4.467663470028705	5.868299669687884	5.3791675060247615	-2.9325051680041825	-5.822626597488534	-0.4665965330208995	-1.9822223467228137	-4.5363153193020445	-6.873346876013388	-1.2961099867532302	-2.877018240893252	-8.809170288948934	-6.427673585094885	-4.403826590936849	-5.148442788506612	-1.4400046832287825	-1.8817961857663805	-3.986522919053408	-4.783046804868038	-5.031361118738776	-8.465545398338506	-9.153937762496321	-8.423638603287019	1.2094200357902343	2.6301605366034404	0.0035	1.0916821521708981	0.3245170186398921	0.37071692826763214	0.19404530447925095	0.18363093546016845	0.25160683179294846	10.140838205035779	1.2760177260086458	0.7167870327923677	0.33618656452715434	0.21375456777624013	0.19333688861318624	0.2567219790834192	5.9339833924544285	0.6991661602471124	0.16395556191901853	0.34431082412420533	0.2160904397308924	0.21834820177039382	0.22125053437450853	12.659356912498916	0.9630330310085827	0.4099746999668472	0.36263749275140705	0.21374167847587933	0.21815151314613454	0.20546931562657908	8.156616330646955	0.8850274673384375	0.20959902044913736	0.3383046312056913	0.20915614754222217	0.23055115502195467	0.22198806623013176	11.49156075640276	0.9893475982836701	0.26371909728632276	0.34475775812278625	0.22034727482167774	0.20088254983131115	0.23401241722422486	12.949976316007483	0.9637135096320573	0.280615856703329	0.3698792670445895	0.19425109739938773	0.19970260370470594	0.2361670318513169	11.005467469840212	1.0150881627224835	0.2791537579312297	0.3415273372111128	0.21208980007558462	0.2121031134129381	0.23427974930036455	12.447761132470907	
350000	-141045.32015723505	-136517.73331654104	-4447.7064448150395	-79.88039587898106	465.4220743712641	3757.876786566667	301	74.51836543330258	464.69334741374115	279.193127471275	1701.272933634267	32.14390208934374	362.00293847040206	148.1054230140854	633.4269937567207	37.259914506062024	453.57316541784877	37.259914506062024	431.93914491720653	48.90878390207059	494.005528985685	37.259914506062024	456.9886794836144	0.1211	1.0293	0.3990792279595333	2.2307084123359444	0.7696669508355404	1.3454553328353631	2.151775751324073	3.9633529484489425	2.1954611517106013	3.9752423077421826	4.648417198691378	4.8454700736160445	3.366645280046798	3.3609120822859513	2.1454233508672136	3.406265918188064	3.228799399328764	4.09926591996274	5.2307187736295955	4.721590713240347	5.293303893567581	5.316864739987338	-2.3426801613332344	-5.522195896897707	-1.3862895306518	-5.5514019865942705	-6.475996127560361	-5.474167423556037	-0.9526380538999204	-3.1170721314434005	-5.555012093189736	-7.599266736818972	-5.284658784647553	-6.516516933731218	-0.35561550104935885	-4.650085386474529	-3.1923272149373516	-5.6928258049209814	-6.408178928834057	-8.20346106019107	-6.188193989754131	-8.346500452098235	0.9592239835830727	2.7464424904810527	0.0035	1.0563313502576874	0.3250514933708416	0.368286002300594	0.20285945719459592	0.19201468365606927	0.23683985684874084	11.900904088513204	1.2786503621499425	0.644561932130593	0.3285412665309145	0.21723470165647654	0.20283455453307717	0.2513894772795319	6.391483256643538	0.7106204748044009	0.14286818157701678	0.32668703541429245	0.21213247753475392	0.24368960144086618	0.21749088561008745	14.830432689247631	0.8421596825010945	0.39563632382534003	0.346628645586027	0.2072682360458367	0.2121320265113172	0.2339710918568191	7.711095694338887	0.8816498989819633	0.234119648176971	0.34591088209579773	0.20172572283104453	0.22047481579340097	0.2318885792797568	11.750698567366054	1.0226979419093574	0.27386906633918323	0.3546287102983086	0.21545956773147928	0.20096403591423095	0.22894768605598106	12.30963028671262	1.0184569367665797	0.29666736963411	0.3522360851319338	0.19965367033244108	0.2118345609428512	0.23627568359277393	11.561389308475064	0.9921726534704699	0.28031311010030907	0.3374220785766871	0.21731527555093275	0.2017882313125697	0.24347441455981042	13.345015203309147	
400000	-141109.54813838945	-136564.4689179075	-4462.616955902008	-82.4622645799274	1029.7559447380559	5500.64798563655	305	65.36748488526068	437.86449500419377	271.4543296872973	1671.7033005402975	30.208322812899226	361.36230398208403	145.38427011625387	618.5843805473129	36.074856590317324	452.1449148486574	36.074856590317324	428.1808790091831	48.18383852359388	494.9287138662378	36.074856590317324	452.1155097861973	0.1211	1.0293	2.0672887446504533	2.287715806936184	0.9084262433395554	0.973543688229428	1.6582156330220137	4.031963560413944	2.3249047025329266	4.160027485047099	4.284274409970882	4.700802050248977	3.607047045660342	3.5854404941924063	2.4244993081752484	3.363355501971803	3.544612311938578	4.083190728212762	5.008004337976093	4.188807404877498	3.9909977327525823	5.840357421423027	-8.931789330282818	-4.078741386330538	-2.6031577590822677	-5.894300020854283	-3.3321194253156743	-7.143854879332461	-1.2686037953442229	-3.668775518834557	-5.5792554080155154	-7.779587233177651	-5.956022986993439	-5.899537412335141	-0.30534307786192083	-4.56235266343109	-3.1530778823078482	-6.021068026951853	-6.332961423217484	-7.382458880566339	-7.842639888937366	-8.29604196849803	1.4373573970560123	3.3633493134820482	0.0035	1.0188471563323098	0.3279436141958845	0.351385969852778	0.21416496080608038	0.18745092934326338	0.2469981399978783	10.258997455168496	1.1967216089805777	0.6457352563157948	0.33320767692736575	0.21341020617278758	0.19822631488677347	0.25515580201307314	6.672579892173476	0.726865144159186	0.1588568445260942	0.3313356333014338	0.2007844663132081	0.23877111091199058	0.2291087894733676	11.392313181765259	0.92923230276346	0.4995148188249092	0.34989675323162395	0.19016868007850685	0.21626280138938855	0.24367176530048057	8.07394789393531	0.8793472230579038	0.24733005585036283	0.35077749684033493	0.20331061841237075	0.21545503041773534	0.23045685432955892	12.43481692388165	0.9943108893443061	0.26539724158886224	0.362407410664195	0.22302732037002118	0.20545693346512686	0.20910833550065697	13.52974400882134	0.9826589860492021	0.30191929267277057	0.35331934894691347	0.2023367028282362	0.1992386088852051	0.24510533933964523	11.901084075922439	1.1076003399768328	0.30356617258826835	0.3387494408157213	0.21914027304090164	0.20023043911911986	0.24187984702425722	11.746167925695799	
450000	-141068.56711874367	-136544.1335423208	-4445.962499395998	-78.47107702685052	597.5986602755581	4565.1615337106305	305	60.86447825739984	426.95014680651207	276.4068025140413	1661.5520556850602	29.64511710789365	359.1338947332309	146.96713682751687	614.5614030775488	37.020099382261044	448.3085236344147	37.020099382261044	426.53599890313245	47.319724874371275	492.0993672384761	37.020099382261044	451.398783439507	0.1211	1.0293	0.9161168744728084	2.3317093415195744	0.8428086068049653	0.7977632137550621	1.410073328524594	3.8876956381307974	2.2723506659305936	3.892211691925483	4.728357794739769	4.878294436672254	3.3703108550968293	3.6459153180122272	2.2690945099399396	3.3075125574262034	3.446796288086654	4.123753967970439	5.136827093107719	4.7116996878135105	4.051593699930427	5.5698041109296685	-1.1624116862716831	-4.711576852973696	-1.6060414940884806	-4.104000973688713	-4.8184888390900795	-6.412795985919934	-1.0335554703416452	-2.828433217342021	-6.229043850463944	-5.939416699413329	-7.2036499034282295	-5.776910143186813	-0.6073407200605253	-4.450561037012882	-3.5345385721028544	-5.837199031511905	-6.931016958954096	-7.630933386406027	-7.681796107274818	-8.386442841224447	1.1339047725999591	2.9079847686381433	0.0035	1.0845280602411942	0.36114172443558296	0.3560188811506608	0.2008455630158573	0.19747671696719207	0.2456588388662897	10.236352173537295	1.278799950886521	0.6203765954157293	0.33395765035073716	0.22092209531676943	0.19406980677553307	0.25105044755696027	6.212077802597024	0.6785259445807799	0.14797061960290056	0.34260065367524	0.20821236492894676	0.23089291200325213	0.21829406939256107	12.530130053963909	0.9619334358800896	0.44773991437331356	0.3555093758095967	0.21084087833830673	0.1943023098825971	0.2393474359694995	6.840170211465239	0.8353099069522831	0.20187378161244313	0.3465077254087913	0.20411289160464935	0.21714887967477606	0.23223050331178316	12.7046090979027	1.028263068075561	0.2678061571610747	0.3599059536252962	0.21601930411515555	0.19350138016978236	0.23057336208976587	13.001296008772563	0.9634053203229664	0.25862704062486547	0.34463670307714245	0.21239027476377623	0.20854016870720696	0.2344328534518745	12.047077411068589	1.0224408576554023	0.2793722079817865	0.34295256264262874	0.20682965608942727	0.21214560496136203	0.23807217630658203	13.345656604460371	
