iteration	time	leafsWith	leafsWithout	resultingClade	incomingClade	segments
1	122.74296424954355	2	1	LPAI	LPAI	{1}
1	312.7947491976711	2	4	LPAI	LPAI	{4}
1	3.44191710392073	54	223	HPAI	LPAI	{4, 5, 6}
1	2.6659147265786487	62	2	HPAI	LPAI	{5, 6}
1	0.4141046592558837	1	1	HPAI	HPAI	{3, 4, 5}
1	3.0314588271200478	2	1	HPAI	HPAI	{1, 4, 6, 7}
1	3.2577079453943156	25	2	HPAI	LPAI	{4, 6}
1	3.0759997741797065	4	3	HPAI	LPAI	{3}
1	0.4129973955160722	1	1	HPAI	LPAI	{1}
1	3.2763703524263406	30	23	HPAI	LPAI	{7}
1	3.883923060773668	1	1	LPAI	LPAI	{4, 5, 6}
1	2.9371956337467395	1	1	HPAI	HPAI	{1, 2, 3, 5, 6, 7}
1	3.0048570296036132	16	1	HPAI	LPAI	{5, 6, 7}
1	7.643485727174664	1	1	LPAI	LPAI	{5, 6}
1	2.9009520073551016	4	1	HPAI	LPAI	{5, 6}
1	3.028609836819385	1	1	HPAI	HPAI	{3, 5, 6, 7}
1	0.5286180747600611	1	3	HPAI	LPAI	{6}
1	2.8033446145672087	5	4	HPAI	LPAI	{6}
1	2.815058376061245	1	1	HPAI	HPAI	{3}
1	2.358312115168303	1	1	HPAI	HPAI	{3, 6}
1	0.5190825244291659	1	2	HPAI	LPAI	{7}
1	3.208905249682857	9	3	HPAI	HPAI	{1, 3, 5, 7}
1	0.8031176603043946	27	8	HPAI	LPAI	{1}
1	3.0178771372652022	1	1	HPAI	HPAI	{1, 7}
1	145.25445080139457	6	358	LPAI	LPAI	{1, 4}
1	1.844448390601201	6	1	HPAI	LPAI	{5, 6, 7}
1	1.5500976318399466	28	2	HPAI	LPAI	{4, 6}
1	3.362445897836153	1	53	HPAI	HPAI	{1, 5, 7}
1	2.2090952273099447	1	1	LPAI	LPAI	{3}
1	3.2294273120597836	25	1	HPAI	LPAI	{4, 6}
1	2.594443433506001	1	2	HPAI	HPAI	{1, 4}
1	3.290784216789234	149	5	HPAI	LPAI	{3, 4, 5, 6}
1	4.916130407448691	5	346	HPAI	LPAI	{1, 3, 4, 5, 6, 7}
1	1.3110048561227927	35	1	HPAI	LPAI	{4, 6, 7}
1	3.1094291804457157	1	1	HPAI	LPAI	{4}
1	2.759654011746534	1	2	LPAI	LPAI	{5, 6}
1	1.563822450547434	1	3	HPAI	LPAI	{4}
1	3.09676909195872	3	1	LPAI	LPAI	{3}
1	162.51333527458777	1	1	LPAI	LPAI	{1}
1	2.4494904541684264	4	1	HPAI	LPAI	{1}
1	1.5458475190043828	2	1	HPAI	HPAI	{1, 3, 5, 6, 7}
1	7.209243938160114	2	1	LPAI	LPAI	{4}
1	1.7253501811787828	2	2	HPAI	LPAI	{4, 6}
1	1.4553564924007674	1	1	HPAI	LPAI	{4}
1	1.4670608985165359	1	1	HPAI	LPAI	{4, 5, 7}
2	2.738734073228784	1	16	HPAI	HPAI	{1, 2, 4}
2	7.653918141559075	1	2	LPAI	LPAI	{4}
2	152.70646866131136	6	358	LPAI	unknown	{1, 4}
2	1.623399251840567	2	1	HPAI	LPAI	{4, 6}
2	9.641280301974746	1	3	LPAI	LPAI	{2, 3, 4, 5, 6}
2	3.3194154526780153	1	53	HPAI	HPAI	{1, 5, 7}
2	3.243134972375003	30	23	HPAI	LPAI	{7}
2	2.8058579955123832	4	1	HPAI	LPAI	{5, 6}
2	6.3256124414160695	2	1	LPAI	LPAI	{1, 5}
2	4.310944077415115	5	44	HPAI	LPAI	{1, 3, 4, 5, 6, 7}
2	3.1948007057293353	3	1	LPAI	LPAI	{3}
2	215.41950739726556	6	364	LPAI	unknown	{1}
2	272.0464002826509	4	2	LPAI	unknown	{7}
2	3.183956700627732	9	29	HPAI	HPAI	{3, 5, 7}
2	2.354810463752358	1	1	HPAI	HPAI	{3, 6}
2	2.3003730674230383	1	1	LPAI	LPAI	{3}
2	2.533721667800478	4	1	HPAI	LPAI	{1}
2	1.5831172731631113	1	30	HPAI	LPAI	{6}
2	2.653978818140672	1	1	HPAI	HPAI	{2}
2	2.6415804774480875	1	2	LPAI	LPAI	{5, 6}
2	13.075365812760651	2	4	LPAI	LPAI	{1}
2	2.873743348602261	1	2	HPAI	HPAI	{3}
2	8.581034867315282	1	1	LPAI	LPAI	{5, 6}
2	3.2364706095371503	149	1	HPAI	LPAI	{3, 4, 5, 6}
2	1.4860922283905325	28	2	HPAI	LPAI	{4, 6}
2	1.7505056550735958	31	4	HPAI	LPAI	{6}
2	0.37644751250132913	1	1	HPAI	LPAI	{1}
2	2.6754999995278013	62	2	HPAI	LPAI	{5, 6}
2	3.057251210172865	4	1	HPAI	LPAI	{3}
2	0.5196640908486643	1	8	HPAI	LPAI	{6}
2	2.9768903181844166	1	1	HPAI	LPAI	{4}
2	3.023777552329932	2	1	HPAI	HPAI	{1, 3, 4, 5}
2	1.1291298052822185	35	1	HPAI	LPAI	{4, 6, 7}
2	1.5675001676263491	1	3	HPAI	LPAI	{4}
2	3.2491328009628546	25	5	HPAI	LPAI	{4, 6}
2	2.7892275747482245	5	4	HPAI	LPAI	{6}
2	0.7830797773320342	27	8	HPAI	LPAI	{1}
2	88.12079741231548	3	355	LPAI	LPAI	{4}
2	1.4047309258830865	1	2	HPAI	LPAI	{4, 5, 7}
2	3.395895316015185	54	219	HPAI	LPAI	{4, 5, 6}
2	2.922472613415607	17	1	HPAI	LPAI	{5, 6, 7}
2	3.392535747994941	1	1	LPAI	LPAI	{5}
2	2.5721176557155445	1	2	HPAI	HPAI	{1, 4}
2	144.8854206531132	3	3	LPAI	unknown	{1}
2	4.6038359386658385	1	1	LPAI	LPAI	{4, 5, 6}
2	1.5151108708152492	1	4	HPAI	LPAI	{4}
2	1.8534705236607465	6	1	HPAI	LPAI	{5, 6, 7}
2	3.2526235185414976	25	2	HPAI	LPAI	{4, 6}
2	2.5535649822644473	1	3	HPAI	HPAI	{1, 2, 3, 4, 6}
3	3.0849828280914267	4	2	HPAI	LPAI	{3}
3	3.0211799595701905	1	1	HPAI	LPAI	{4}
3	1.6472488264507206	1	1	HPAI	LPAI	{4}
3	0.44856867926830546	1	1	HPAI	LPAI	{1}
3	3.2551603647096385	149	30	HPAI	LPAI	{3, 4, 5, 6}
3	0.8501493864476402	27	8	HPAI	LPAI	{1}
3	5.800297568669237	1	1	LPAI	LPAI	{7}
3	2.4167814835971626	1	1	HPAI	HPAI	{3, 6}
3	116.2807093392357	1	2	LPAI	LPAI	{1}
3	234.18023798710288	364	6	unknown	LPAI	{2}
3	3.210535615372862	9	24	HPAI	HPAI	{3, 5, 7}
3	2.904420737414739	4	1	HPAI	LPAI	{5, 6}
3	3.0112003309692454	17	1	HPAI	LPAI	{5, 6, 7}
3	3.0890759079303507	2	1	HPAI	HPAI	{1, 4, 6, 7}
3	93.1530230457974	355	3	unknown	LPAI	{2}
3	295.31823467399386	2	4	LPAI	LPAI	{5, 6}
3	0.6897733426529271	1	8	HPAI	LPAI	{7}
3	2.7306450264564432	62	2	HPAI	LPAI	{5, 6}
3	4.020946750355222	1	1	LPAI	LPAI	{4, 5, 6}
3	0.48377495987847396	1	1	HPAI	HPAI	{4, 5}
3	1.7437273538077989	31	5	HPAI	LPAI	{6}
3	2.797848293004506	5	4	HPAI	LPAI	{6}
3	3.1912743843394082	3	1	LPAI	LPAI	{3, 5}
3	8.307297415862365	1	2	LPAI	LPAI	{1}
3	1.6184074877026546	2	1	HPAI	LPAI	{4, 6}
3	0.5780101172725267	1	5	HPAI	LPAI	{6}
3	1.139021613229204	35	1	HPAI	LPAI	{4, 6, 7}
3	0.32391342176396165	1	1	HPAI	HPAI	{1, 2, 3, 4, 6, 7}
3	2.8595765838506964	1	2	HPAI	HPAI	{3}
3	2.6101700292483088	1	2	HPAI	HPAI	{1, 4}
3	2.003634141157079	6	1	HPAI	LPAI	{5, 6, 7}
3	1.5933792143932237	1	30	HPAI	LPAI	{6}
3	32.090689407676564	3	1	LPAI	unknown	{1}
3	2.4061447930717463	1	2	LPAI	LPAI	{6}
3	3.243448289529624	25	2	HPAI	LPAI	{4, 6}
3	3.2087321365456773	25	2	HPAI	LPAI	{4, 6}
3	4.942732671620433	5	346	HPAI	LPAI	{1, 3, 4, 5, 6, 7}
3	14.66011603259426	2	4	LPAI	LPAI	{4, 6}
3	0.49005691976850585	1	1	HPAI	HPAI	{3}
3	3.2894237415067664	30	17	HPAI	LPAI	{7}
3	3.47395439920291	54	223	HPAI	LPAI	{4, 5, 6}
3	1.619841870767857	1	3	HPAI	LPAI	{4}
3	9.683186788097203	1	3	LPAI	LPAI	{2, 3, 4, 5, 6}
3	2.641979721829557	1	1	HPAI	HPAI	{2}
3	1.5331484349695188	1	1	HPAI	LPAI	{4, 5, 7}
3	2.7475572070281373	1	16	HPAI	HPAI	{1, 2, 4}
3	2.3528406962095687	1	1	LPAI	LPAI	{3}
3	1.466484881456438	28	2	HPAI	LPAI	{4, 6}
4	1.6002748432235308	1	3	HPAI	LPAI	{4}
4	173.23693377513882	1	1	LPAI	LPAI	{1}
4	0.5471632443533849	1	2	HPAI	HPAI	{1, 2, 4, 5, 6}
4	1.7247703251156281	31	6	HPAI	LPAI	{6}
4	2.2538840999919216	1	1	LPAI	LPAI	{3}
4	229.52308420167716	364	6	unknown	LPAI	{3}
4	3.2717335472802347	25	2	HPAI	LPAI	{4, 6}
4	3.3394989606817944	1	53	HPAI	HPAI	{1, 2, 5, 7}
4	1.6612154732238764	1	30	HPAI	LPAI	{6}
4	3.131343955944601	4	2	HPAI	LPAI	{3}
4	2.973165982090052	1	1	HPAI	LPAI	{4}
4	1.6192855054301845	1	1	HPAI	LPAI	{4}
4	2.6834717327483872	62	2	HPAI	LPAI	{5, 6}
