iteration	time	leafsWith	leafsWithout
1	3.221252112305905	24	1
1	2.9877179286843045	16	1
1	0.48982074113305885	2	1
1	0.5297115271674784	1	3
1	3.207900670668124	139	9
1	1.1767365637171565	35	1
1	1.5254772999852833	1	1
1	3.2451639713902694	25	2
1	3.306024597064777	1	1
1	4.344111905193216	5	44
1	0.6930565711296026	8	27
1	0.42176287338512	1	1
1	3.1765447091320596	1	18
1	3.0397685689650586	1	1
1	2.9382630078295904	1	1
1	0.5593967705896432	1	8
1	3.13571546465775	1	2
1	2.456458674931582	1	1
1	2.86846735678094	4	1
1	3.156815381712306	4	1
1	2.838197228771776	7	1
1	2.644958954641311	1	4
1	3.322889037996333	1	2
1	3.3011309364897556	54	6
1	2.6659046262919333	61	2
1	0.6217443698295142	1	14
1	2.659896293051446	2	5
1	3.2267086684832975	30	6
1	2.629088177674305	1	2
1	2.6249824175250467	1	1
1	3.287595242333424	1	53
1	1.6513312508139677	1	10
1	1.5970384598909675	2	1
1	2.889813983563954	1	2
1	3.2336253328761586	148	6
2	0.6026740192064892	1	1
2	1.16653979607986	35	1
2	2.383263160686397	1	1
2	0.6270310921264866	2	2
2	3.1401365051985124	1	3
2	1.5833619234151115	2	1
2	2.937525563170965	1	2
2	4.465388468806054	5	44
2	2.63226181204638	61	2
2	3.2354686433110373	30	23
2	2.2560908613395156	2	4
2	0.4024266067344513	1	1
2	0.5475232359725624	1	4
2	1.7928521920714218	6	1
2	2.9565809331053003	16	1
2	3.2931688947571445	54	2
2	3.2175012193092414	25	2
2	0.707602216805185	8	27
2	3.060499117340413	1	2
2	0.37960600187739146	1	1
2	3.161420478151399	4	13
2	1.6069780571040724	1	3
2	1.6034504954453155	1	30
2	0.5582434191795755	2	5
2	3.2892321702665583	1	53
2	2.669258562594763	1	4
2	2.6517375911146246	1	3
2	2.840783280979622	7	1
2	3.0319824319646216	1	1
2	1.697120446446803	31	11
2	2.6907522994926865	1	2
2	1.5195181027503963	1	2
2	2.803123876963184	4	1
2	3.1665397677446094	139	8
3	2.452071736631126	1	1
3	2.8801647639721466	16	1
3	0.5317084280437143	1	6
3	3.157942291776635	4	15
3	3.306449814739125	1	53
3	0.45380707083438665	1	1
3	0.6562697205379493	8	12
3	2.6116636261257042	1	2
3	1.631814150154753	1	30
3	3.0616244336574994	1	1
3	3.3881720050144963	20	1
3	0.46201062016592687	2	1
3	3.039837507894191	1	1
3	3.232688120844898	173	7
3	3.20511136107109	139	9
3	1.6139692430264745	1	3
3	1.4838694812148674	1	2
3	0.6069999127481935	1	8
3	0.5785351022944667	2	7
3	4.252627397235045	5	44
3	2.6590732303990023	1	2
3	2.676841966018827	61	2
3	3.1248066613262324	1	2
3	2.6025213142621624	1	4
3	3.3257226781123848	54	220
3	3.2636681679495894	30	23
3	2.9595459029616507	4	1
3	3.220415008481609	25	148
3	1.186479005860889	35	1
3	1.59480760879066	2	1
3	3.2256199762570077	25	2
3	1.790059908463121	6	1
3	1.5413588048176905	1	1
4	3.1889201168617376	139	9
4	0.46603621569070697	1	1
4	3.313106316623049	54	2
4	1.5543782176934542	1	1
4	3.193872711555315	25	2
4	1.6147518845148738	2	1
4	2.6722882341839522	61	2
4	2.9594141073201286	1	1
4	1.9993812040386274	6	1
4	2.565183340592654	1	4
4	2.875631842038729	4	1
4	2.66595641151153	1	1
4	0.44040532689589895	2	1
4	0.49344930214627425	1	3
4	3.012140381398183	1	3
4	1.4178033363376699	1	1
4	1.7175983599876474	1	30
4	4.063084087984834	5	44
4	1.634994516136004	1	10
4	2.465628231890747	1	1
4	3.2817879696011403	1	53
4	2.792684940703083	7	4
4	3.040132475778762	1	1
4	2.276104080074674	2	4
4	0.5528013087856323	1	3
4	1.3071299304609738	35	1
4	2.6516639323947686	1	2
4	3.0712782566458543	1	1
4	2.869864106119792	16	1
4	3.151345856383415	4	15
4	3.2261080761144	30	17
4	3.4709581550221174	1	21
5	3.3504107628115776	54	2
