Sample	min:cow:0	max:cow:0	min:cow:1	max:cow:1	min:cow:2	max:cow:2	min:cow:3	max:cow:3	min:cow:4	max:cow:4	min:cow:5	max:cow:5	min:cow:6	max:cow:6	min:cow:7	max:cow:7
0	1.0967113861814823	1.5339041562885427	1.0967113861814823	1.5339041562885427	1.0967113861814823	1.5339041562885427	1.0967113861814823	1.584028927524173	1.0967113861814823	6.593011139529665	1.0967113861814823	1.5339041562885427	1.0967113861814823	3.1733051872185456	1.0967113861814823	1.5339041562885427
1	1.095030911592687	1.542159488893958	1.095030911592687	1.542159488893958	1.095030911592687	1.542159488893958	1.095030911592687	1.542159488893958	1.095030911592687	6.696527822351328	1.095030911592687	1.542159488893958	1.095030911592687	3.208862594534253	1.095030911592687	1.5810054917177183
2	1.0504020468482054	1.5638655322235593	1.0504020468482054	1.5638655322235593	1.0504020468482054	1.5092339947150606	1.0504020468482054	1.5092339947150606	1.0504020468482054	6.566911573314712	1.0504020468482054	1.5092339947150606	1.0504020468482054	3.3006429604357947	1.0504020468482054	1.5638655322235593
3	1.028169314242831	1.5285558463877464	1.028169314242831	1.5285558463877464	1.028169314242831	1.637077000694518	1.028169314242831	1.5285558463877464	1.028169314242831	6.0723931441730485	1.028169314242831	1.5285558463877464	1.028169314242831	3.021380579456377	1.028169314242831	1.5285558463877464
4	1.0705596514804654	1.5376984864868746	1.0705596514804654	1.5376984864868746	1.0705596514804654	1.5376984864868746	1.0705596514804654	1.5376984864868746	1.0705596514804654	7.177418189348316	1.0705596514804654	1.5446616381979368	1.0705596514804654	3.1177955991296074	1.0705596514804654	1.5376984864868746
5	1.108806372511907	1.5702929067868183	1.108806372511907	1.5702929067868183	1.108806372511907	1.6296252565226155	1.108806372511907	1.5702929067868183	1.108806372511907	6.608555599558798	1.108806372511907	1.5702929067868183	1.108806372511907	3.026184300275787	1.108806372511907	1.5702929067868183
6	1.084138608824702	1.6699852183357677	1.084138608824702	1.6699852183357677	1.084138608824702	1.6699852183357677	1.084138608824702	1.6699852183357677	1.084138608824702	6.937299985664708	1.084138608824702	1.5904508300136797	1.084138608824702	3.1738234695386893	1.084138608824702	1.6699852183357677
7	1.0796940905231338	1.6327415611542335	1.0796940905231338	1.6327415611542335	1.0796940905231338	1.7432047226964187	1.0796940905231338	1.7432047226964187	1.0796940905231338	6.636161988807004	1.0796940905231338	1.6327415611542335	1.0796940905231338	3.0523405746953074	1.0796940905231338	1.6327415611542335
8	1.0418768279750736	1.614513487507594	1.0418768279750736	1.614513487507594	1.0418768279750736	1.6043892025159323	1.0418768279750736	1.6043892025159323	1.0418768279750736	6.4202508548517585	1.0418768279750736	1.614513487507594	1.0418768279750736	3.183239438818674	1.0418768279750736	1.614513487507594
9	1.0400761512143504	1.6314033376284272	1.0400761512143504	1.6314033376284272	1.0400761512143504	1.6314033376284272	1.0400761512143504	1.3536752127770626	1.0400761512143504	7.3693012276327465	1.0400761512143504	1.6770509091439862	1.0400761512143504	3.106433224494282	1.0400761512143504	1.6314033376284272
10	1.016501845004882	1.615563130128237	1.016501845004882	1.615563130128237	1.016501845004882	1.615563130128237	1.016501845004882	1.6745969094079385	1.016501845004882	6.685266352516493	1.016501845004882	1.615563130128237	1.016501845004882	2.9207537140923705	1.016501845004882	1.615563130128237
11	1.0481164902172395	1.5306015588797948	1.0481164902172395	1.5306015588797948	1.0481164902172395	1.6531350246980878	1.0481164902172395	1.6531350246980878	1.0481164902172395	6.871055045397156	1.0481164902172395	1.777639271456195	1.0481164902172395	2.916632210876486	1.0481164902172395	1.6755222342599438
12	1.0400721436225808	1.4433724107121293	1.0400721436225808	1.4433724107121293	1.0400721436225808	1.7908114271813815	1.0400721436225808	1.7908114271813815	1.0400721436225808	6.895368950032918	1.0400721436225808	1.4433724107121293	1.0400721436225808	3.7098503809968406	1.0400721436225808	1.7908114271813815
13	1.0855488782063105	1.5085923402758397	1.0855488782063105	1.5085923402758397	1.0855488782063105	1.766685013110532	1.0855488782063105	1.7266439444930768	1.0855488782063105	6.760333707111329	1.0855488782063105	1.5085923402758397	1.0855488782063105	2.7847295760286386	1.0855488782063105	1.7266439444930768
14	1.110121653304418	1.428037694650726	1.110121653304418	1.428037694650726	1.110121653304418	1.6535128947013789	1.110121653304418	1.5827239234375554	1.110121653304418	6.93679468900055	1.110121653304418	1.428037694650726	1.110121653304418	3.075789248590155	1.110121653304418	1.428037694650726
15	1.1229507996434336	1.4607466232221498	1.1229507996434336	1.4607466232221498	1.1229507996434336	1.6581116282389132	1.1229507996434336	1.4607466232221498	1.1229507996434336	6.963977642795129	1.1229507996434336	1.4607466232221498	1.1229507996434336	3.1359595678957817	1.1229507996434336	1.6581116282389132
16	1.0634874675531307	1.4750353743528706	1.0634874675531307	1.4750353743528706	1.0634874675531307	1.4750353743528706	1.0634874675531307	1.6098697364814996	1.0634874675531307	6.850427076448625	1.0634874675531307	1.4750353743528706	1.0634874675531307	3.412395574966979	1.0634874675531307	1.6098697364814996
17	1.079896864732035	1.4671372678635635	1.079896864732035	1.4671372678635635	1.079896864732035	1.526547937372726	1.079896864732035	1.526547937372726	1.079896864732035	7.495886320604683	1.079896864732035	1.4671372678635635	1.079896864732035	3.21180309807923	1.079896864732035	1.4671372678635635
18	1.1023401412841736	1.5130844425180783	1.1023401412841736	1.5130844425180783	1.1023401412841736	1.5027687859257242	1.1023401412841736	1.5465376498999035	1.1023401412841736	6.899594427228948	1.1023401412841736	1.5130844425180783	1.1023401412841736	3.111518521721422	1.1023401412841736	1.5465376498999035
