#node	date	numeric date
NODE_0000001	1999-11-29	1999.910892
NODE_0002545	2016-02-17	2016.129725
A/blue-winged_teal/Texas/16-031241-1/2016|EPI_ISL_397777|2016-09-17	2016-09-17	2016.711749
A/mallard/North_Dakota/16-036222-1/2016|EPI_ISL_397811|2016-10-26	2016-10-26	2016.818306
NODE_0002544	2018-10-14	2018.785021
NODE_0002546	2020-12-05	2020.927280
A/blue-winged_teal/Texas/UGAI22-3268/2022|EPI_ISL_17424635|2022-10-01	2022-10-01	2022.749315
NODE_0002547	2021-07-03	2021.501962
NODE_0002548	2021-08-08	2021.602664
NODE_0002549	--	--
A/American_wigeon/Washington/196336/2015|EPI_ISL_206439|2015-01-02	--	--
A/American_wigeon/Washington/196340/2015|EPI_ISL_206440|2015-01-02	--	--
A/American_green-winged_teal/Washington/195750/2014|EPI_ISL_174409|2014-12-29	--	--
A/chicken/BC/FAV2/2015|EPI_ISL_236802|2015-02-06	--	--
NODE_0002552	2021-10-17	2021.794372
A/american_crow/BC/AIVPHL-264/2022|EPI_ISL_17051416|2022-10-24	2022-10-24	2022.812329
NODE_0002553	2021-12-04	2021.924621
NODE_0002554	2022-03-22	2022.220548
A/mallard/New_York/22-008760-007-original/2022|EPI_ISL_11971491|2022-03-22	2022-03-22	2022.220548
A/pheasant/New_York/22-008760-008-original/2022|EPI_ISL_11971490|2022-03-22	2022-03-22	2022.220548
A/Pheasant/New_York/USDA-008760-010/2022|EPI_ISL_18132352|2022-03-22	2022-03-22	2022.220548
A/pheasant/New_York/22-009066-001-original/2022|EPI_ISL_11971502|2022-03-25	2022-03-25	2022.228767
NODE_0002557	2021-12-19	2021.966255
A/chicken/New_Jersey/15-002659-2/2015|EPI_ISL_244137|2015-01-20	--	--
NODE_0002559	--	--
NODE_0002560	--	--
A/black_duck/Tennessee/17OS0306/2017|EPI_ISL_294074|2017-01-13	--	--
A/gadwall_duck/Tennessee/17OS0341/2017|EPI_ISL_294171|2017-01-14	--	--
NODE_0002561	--	--
A/ruddy_turnstone/Delaware_Bay/317/2016|EPI_ISL_273583|2016-05-24	--	--
A/turkey/Missouri/16-014037-7/2016|EPI_ISL_244138|2016-04-29	--	--
NODE_0002562	2022-01-03	2022.007001
A/American_black_duck/Alberta/118/2016|EPI_ISL_273596|2016-08-11	--	--
NODE_0002563	2022-03-06	2022.177236
A/Bald_Eagle/Minnesota/USDA-012671-001/2022|EPI_ISL_18132906|2022-04-22	2022-04-22	2022.305479
A/goose/Colorado/USDA-013125-001/2022|EPI_ISL_18133401|2022-04-26	2022-04-26	2022.316438
NODE_0000016	2022-04-05	2022.258186
NODE_0002571	2022-06-15	2022.453662
A/turkey/Utah/22-032951-001-original/2022|EPI_ISL_16297350|2022-10-11	2022-10-11	2022.776712
A/rhea/Arizona/22-037270-002-original/2022|EPI_ISL_16271827|2022-11-14	2022-11-14	2022.869863
A/red-tailed_hawk/Nevada/23-011168-002-original/2023|EPI_ISL_17964925|2023-03-23	2023-03-23	2023.223288
NODE_0000020	2022-08-09	2022.604949
A/duck/Arizona/S1-AZMCP12122022-S4/2022|EPI_ISL_16969373|2022-12-12	2022-12-12	2022.946575
A/red-tailed_hawk/Utah/23-007867-003-original/2023|EPI_ISL_17964895|2023-03-03	2023-03-03	2023.168493
NODE_0000021	2022-04-05	2022.258904
A/Rosss_Goose/North_Dakota/USDA-011033-001/2022|EPI_ISL_18132490|2022-04-05	2022-04-05	2022.258904
NODE_0000022	2022-04-14	2022.282844
A/Red-tailed_Hawk/Indiana/USDA-011949-002/2022|EPI_ISL_18132436|2022-04-14	2022-04-14	2022.283562
NODE_0000023	2022-04-14	2022.283562
A/Red-tailed_Hawk/Indiana/USDA-011949-001/2022|EPI_ISL_18132440|2022-04-14	2022-04-14	2022.283562
NODE_0000026	2022-04-23	2022.308219
A/chicken/Indiana/USDA-012933-001/2022|EPI_ISL_18132557|2022-04-23	2022-04-23	2022.308219
A/chicken/Indiana/22-012933-001-original/2022|EPI_ISL_16171456|2022-04-23	2022-04-23	2022.308219
NODE_0002575	2022-04-07	2022.264384
A/Backyard_bird/Colorado/USDA-010668-001/2022|EPI_ISL_18133012|2022-04-07	2022-04-07	2022.264384
A/chicken/Colorado/22-010668-001-original/2022|EPI_ISL_15004062|2022-04-07	2022-04-07	2022.264384
NODE_0002577	2022-08-11	2022.609773
A/chicken/South_Dakota/22-032160-001-original/2022|EPI_ISL_16297369|2022-10-06	2022-10-06	2022.763014
A/cape_teal/Texas/22-032200-001-original/2022|EPI_ISL_16297367|2022-10-07	2022-10-07	2022.765753
A/chicken/Florida/22-033389-001-original/2022|EPI_ISL_16297331|2022-10-18	2022-10-18	2022.795890
A/turkey/Florida/22-036768-001-original/2022|EPI_ISL_16271852|2022-11-15	2022-11-15	2022.872603
A/blue_winged_teal/Louisiana/CEIRR-4050/2022|EPI_ISL_18107018|2022-09-22	2022-09-22	2022.724658
NODE_0000027	2022-09-04	2022.676316
NODE_0002603	2022-10-11	2022.777191
A/Coopers_hawk/Kansas/W22-1206/2022|EPI_ISL_17471576|2022-12-02	2022-12-02	2022.919178
NODE_0002609	2022-12-01	2022.916438
A/duck/Alabama/22-038970-004-original/2022|EPI_ISL_16271816|2022-12-01	2022-12-01	2022.916438
A/chicken/Alabama/22-038970-003-original/2022|EPI_ISL_16271815|2022-12-01	2022-12-01	2022.916438
A/goose/Alabama/22-038970-002-original/2022|EPI_ISL_16271814|2022-12-01	2022-12-01	2022.916438
NODE_0000030	2022-10-29	2022.826537
A/goose/Kansas/W22-1143/2022|EPI_ISL_17373063|2022-12-05	2022-12-05	2022.927397
NODE_0000034	2022-11-20	2022.885461
A/great_horned_owl/Colorado/23-004706-001-original/2023|EPI_ISL_17964849|2023-02-06	2023-02-06	2023.100000
NODE_0000036	2022-12-05	2022.926679
A/turkey_vulture/Utah/23-012749-001-original/2023|EPI_ISL_17964948|2023-04-20	2023-04-20	2023.300000
NODE_0000037	2022-12-05	2022.927397
A/Coopers_hawk/New_Mexico/23-004581-001-original/2023|EPI_ISL_17964846|2023-02-04	2023-02-04	2023.094521
A/hawk/Kansas/W22-1155/2022|EPI_ISL_17373142|2022-12-05	2022-12-05	2022.927397
NODE_0000057	2022-09-09	2022.688706
A/peafowl/Florida/22-033621-001-original/2022|EPI_ISL_16297141|2022-10-18	2022-10-18	2022.795890
NODE_0000058	2022-09-17	2022.709976
NODE_0002597	2022-10-27	2022.820213
A/chicken/Maine/22-037360-002-original/2022|EPI_ISL_16271822|2022-11-16	2022-11-16	2022.875342
A/domestic_goose/Maine/22-037360-001-original/2022|EPI_ISL_16271821|2022-11-16	2022-11-16	2022.875342
NODE_0000060	2022-09-17	2022.709976
A/chicken/Florida/22-034076-001-original/2022|EPI_ISL_16297130|2022-10-24	2022-10-24	2022.812329
NODE_0000062	2022-09-21	2022.722503
NODE_0002593	2022-11-03	2022.839726
A/chicken/New_York/22-035475-001-original/2022|EPI_ISL_16271845|2022-11-03	2022-11-03	2022.839726
A/chicken/New_York/22-035476-001-original/2022|EPI_ISL_16271846|2022-11-03	2022-11-03	2022.839726
NODE_0000041	2022-09-21	2022.723221
A/chicken/Florida/22-036767-001-original/2022|EPI_ISL_16271851|2022-11-14	2022-11-14	2022.869863
NODE_0000042	2022-09-22	2022.723940
A/turkey/South_Dakota/22-037357-001-original/2022|EPI_ISL_16271819|2022-11-17	2022-11-17	2022.878082
NODE_0000044	2022-09-22	2022.724658
A/blue_winged_teal/Louisiana/CEIRR-4075/2022|EPI_ISL_18107019|2022-09-22	2022-09-22	2022.724658
NODE_0000045	2022-10-06	2022.763599
A/turkey/South_Dakota/22-037934-001-original/2022|EPI_ISL_16271833|2022-11-23	2022-11-23	2022.894521
NODE_0000046	2022-10-06	2022.764317
A/chicken/Florida/22-031886-002-original/2022|EPI_ISL_16297373|2022-10-07	2022-10-07	2022.765753
NODE_0000047	2022-10-07	2022.765035
A/swan/Oklahoma/22-031912-001-original/2022|EPI_ISL_16297374|2022-10-07	2022-10-07	2022.765753
NODE_0000048	2022-10-07	2022.765753
A/Egyptian_goose/Florida/22-031886-001-original/2022|EPI_ISL_16297372|2022-10-07	2022-10-07	2022.765753
NODE_0000049	2022-10-11	2022.776712
