"YEAR","WEEK","TOTAL.SPECIMENS","A..H3.","A..2009.H1N1.","A..Subtyping.not.Performed.","B","H3N2v","BVic","BYam","date"
2015,40,1139,65,4,2,10,0,0,1,2015-10-05
2015,41,1152,41,5,2,7,0,3,0,2015-10-12
2015,42,1198,50,10,1,8,0,3,2,2015-10-19
2015,43,1244,31,9,4,9,0,1,4,2015-10-26
2015,44,1465,23,4,4,9,0,1,4,2015-11-02
2015,45,1393,34,11,1,10,0,4,2,2015-11-09
2015,46,1458,42,17,1,4,0,0,4,2015-11-16
2015,47,1157,24,17,0,4,0,3,9,2015-11-23
2015,48,1550,36,27,3,9,0,3,12,2015-11-30
2015,49,1518,37,38,3,11,0,2,11,2015-12-07
2015,50,1475,39,69,0,10,0,4,19,2015-12-14
2015,51,1245,33,89,1,12,0,3,28,2015-12-21
2015,52,1485,56,146,1,13,0,9,35,2015-12-28
2016,1,1841,68,232,2,14,0,12,52,2016-01-04
2016,2,1748,89,256,5,47,0,23,60,2016-01-11
2016,3,1946,100,361,13,45,0,25,83,2016-01-18
2016,4,2568,160,526,15,97,0,28,104,2016-01-25
2016,5,2727,171,672,13,98,0,62,143,2016-02-01
2016,6,3202,236,891,17,161,0,71,206,2016-02-08
2016,7,3898,256,1340,19,179,0,103,309,2016-02-15
2016,8,4551,232,1672,28,215,0,156,383,2016-02-22
2016,9,4687,313,1886,32,211,0,143,347,2016-02-29
2016,10,5095,313,2173,47,246,0,162,333,2016-03-07
2016,11,4111,213,1514,24,185,0,154,278,2016-03-14
2016,12,3357,198,1058,19,185,0,117,207,2016-03-21
2016,13,3071,180,807,33,208,0,127,211,2016-03-28
2016,14,2403,135,534,33,173,0,106,163,2016-04-04
2016,15,2090,117,383,16,148,0,88,162,2016-04-11
2016,16,1816,127,276,16,158,0,86,163,2016-04-18
2016,17,1491,98,167,5,94,0,78,119,2016-04-25
2016,18,1125,59,77,2,80,0,53,82,2016-05-02
2016,19,1019,62,53,2,53,0,36,71,2016-05-09
2016,20,816,77,35,4,44,0,14,50,2016-05-16
2016,21,639,44,16,2,30,0,22,32,2016-05-23
2016,22,482,13,4,1,24,0,14,35,2016-05-30
2016,23,464,15,5,1,14,0,6,17,2016-06-06
2016,24,424,18,7,0,6,0,6,10,2016-06-13
2016,25,320,22,5,0,10,0,9,11,2016-06-20
2016,26,325,18,3,3,4,0,6,9,2016-06-27
2016,27,271,18,2,0,5,0,5,9,2016-07-04
2016,28,291,21,1,1,3,0,2,11,2016-07-11
2016,29,297,18,2,1,4,0,0,10,2016-07-18
2016,30,298,38,2,0,2,1,2,10,2016-07-25
2016,31,351,45,1,2,0,3,1,4,2016-08-01
2016,32,351,28,6,0,1,10,3,12,2016-08-08
2016,33,376,29,1,0,3,4,1,7,2016-08-15
2016,34,364,28,5,0,2,0,2,6,2016-08-22
2016,35,408,33,7,0,5,0,4,2,2016-08-29
2016,36,400,45,3,0,6,0,1,3,2016-09-05
2016,37,553,55,8,2,10,0,4,6,2016-09-12
2016,38,622,77,6,0,8,0,3,5,2016-09-19
2016,39,696,73,5,1,5,0,11,0,2016-09-26
2016,40,898,87,9,0,1,0,5,4,2016-10-03
2016,41,970,81,11,0,3,0,7,6,2016-10-10
2016,42,1140,134,12,2,1,0,8,10,2016-10-17
2016,43,1168,130,13,1,6,0,3,3,2016-10-24
2016,44,1296,122,12,3,3,0,10,7,2016-10-31
2016,45,1275,155,5,1,5,0,6,1,2016-11-07
2016,46,1351,189,9,2,13,0,7,1,2016-11-14
2016,47,1098,164,5,14,10,0,4,3,2016-11-21
2016,48,1713,318,13,11,18,0,17,5,2016-11-28
2016,49,1880,479,14,3,3,0,20,7,2016-12-05
2016,50,2244,750,18,9,16,0,27,18,2016-12-12
2016,51,2505,1016,29,11,16,0,38,28,2016-12-19
2016,52,3287,1676,32,31,13,0,59,37,2016-12-26
2017,1,3932,2067,53,13,19,0,47,60,2017-01-02
2017,2,4348,2210,49,30,25,0,49,76,2017-01-09
2017,3,4278,2253,57,24,26,0,69,104,2017-01-16
2017,4,4568,2431,47,29,30,0,71,123,2017-01-23
2017,5,5086,2596,51,30,50,0,96,182,2017-01-30
2017,6,5521,2975,71,23,47,0,126,240,2017-02-06
2017,7,5335,2617,68,17,104,0,152,300,2017-02-13
2017,8,5065,2364,87,12,89,0,159,357,2017-02-20
2017,9,3995,1492,54,13,102,0,149,358,2017-02-27
2017,10,3625,1256,50,15,107,0,138,389,2017-03-06
2017,11,3238,909,28,11,124,0,141,440,2017-03-13
2017,12,3212,843,31,4,124,0,193,523,2017-03-20
2017,13,3049,655,27,3,218,0,143,576,2017-03-27
2017,14,2308,374,17,4,133,0,117,450,2017-04-03
2017,15,1719,221,5,1,81,0,66,383,2017-04-10
2017,16,1549,144,11,2,81,0,54,250,2017-04-17
2017,17,1304,133,7,2,49,0,51,181,2017-04-24
2017,18,1044,83,5,2,41,0,31,131,2017-05-01
2017,19,889,97,3,2,36,0,38,117,2017-05-08
2017,20,788,63,5,1,33,0,33,114,2017-05-15
2017,21,640,41,6,0,23,0,26,80,2017-05-22
2017,22,550,39,1,0,17,0,51,60,2017-05-29
2017,23,457,33,5,0,19,0,22,63,2017-06-05
2017,24,398,43,8,1,9,0,11,45,2017-06-12
2017,25,388,40,5,0,8,0,11,31,2017-06-19
2017,26,361,39,5,1,7,0,4,21,2017-06-26
2017,27,295,29,10,0,4,0,7,7,2017-07-03
2017,28,347,31,4,0,11,2,5,9,2017-07-10
2017,29,354,26,8,0,9,9,0,7,2017-07-17
2017,30,367,31,7,4,3,0,1,21,2017-07-24
2017,31,385,41,8,0,3,5,0,8,2017-07-31
2017,32,373,42,6,1,7,1,0,20,2017-08-07
2017,33,353,32,5,3,1,0,0,9,2017-08-14
2017,34,410,54,6,2,10,0,1,9,2017-08-21
2017,35,486,64,18,1,7,0,0,0,2017-08-28
2017,36,469,105,12,2,3,0,0,13,2017-09-04
2017,37,719,109,8,0,14,0,2,17,2017-09-11
2017,38,830,101,2,3,10,17,1,18,2017-09-18
2017,39,961,119,10,1,3,24,0,10,2017-09-25
2017,40,1041,123,13,3,5,1,0,16,2017-10-02
2017,41,1079,143,14,8,6,0,4,13,2017-10-09
2017,42,1234,173,14,0,2,0,1,11,2017-10-16
2017,43,1473,180,26,24,13,0,1,21,2017-10-23
2017,44,1591,249,24,15,17,0,3,36,2017-10-30
2017,45,1554,315,29,1,12,0,4,33,2017-11-06
2017,46,1876,405,56,2,29,0,5,61,2017-11-13
2017,47,1611,490,41,2,10,0,5,60,2017-11-20
2017,48,2369,787,61,11,20,1,8,108,2017-11-27
2017,49,2785,1055,72,4,31,0,16,103,2017-12-04
2017,50,3558,1515,137,11,39,0,36,174,2017-12-11
2017,51,4815,2491,240,19,78,0,39,258,2017-12-18
2017,52,5424,2984,279,29,100,0,35,372,2017-12-25
2018,1,6410,3295,320,39,165,0,45,463,2018-01-01
2018,2,6919,3336,393,70,163,0,42,534,2018-01-08
2018,3,6293,2727,406,50,189,0,47,536,2018-01-15
2018,4,6923,2749,540,38,231,0,58,718,2018-01-22
2018,5,7056,2494,542,41,306,0,91,804,2018-01-29
2018,6,6492,2040,544,32,329,0,113,931,2018-02-05
2018,7,5508,1511,495,24,251,0,115,931,2018-02-12
2018,8,4546,1073,306,19,245,0,116,891,2018-02-19
2018,9,3580,588,246,12,204,0,88,699,2018-02-26
2018,10,3057,411,144,25,172,0,88,646,2018-03-05
2018,11,2529,277,188,25,174,0,70,542,2018-03-12
2018,12,2248,234,120,10,129,0,52,467,2018-03-19
2018,13,1965,220,132,8,107,0,62,455,2018-03-26
2018,14,1906,163,120,7,72,0,54,405,2018-04-02
2018,15,1481,102,101,2,54,0,40,297,2018-04-09
2018,16,1174,86,51,0,45,0,43,211,2018-04-16
2018,17,1028,53,56,1,53,0,28,138,2018-04-23
2018,18,831,31,40,2,23,0,14,137,2018-04-30
2018,19,599,20,16,0,8,0,6,68,2018-05-07
2018,20,464,10,16,0,10,0,6,27,2018-05-14
2018,21,344,6,18,0,8,0,4,20,2018-05-21
2018,22,265,5,8,0,2,0,2,11,2018-05-28
2018,23,286,3,7,0,3,0,3,9,2018-06-04
2018,24,283,3,6,0,2,0,3,8,2018-06-11
2018,25,213,3,1,0,0,1,3,6,2018-06-18
2018,26,197,6,2,0,0,0,0,1,2018-06-25
2018,27,131,5,9,0,1,0,0,6,2018-07-02
2018,28,176,9,8,0,1,0,2,3,2018-07-09
2018,29,174,5,15,0,3,0,2,4,2018-07-16
2018,30,243,3,9,4,0,0,2,0,2018-07-23
2018,31,185,10,7,3,0,0,0,1,2018-07-30
2018,32,164,8,6,5,1,0,0,2,2018-08-06
2018,33,181,9,5,6,1,0,0,2,2018-08-13
2018,34,259,20,17,6,1,0,0,1,2018-08-20
2018,35,258,6,10,0,0,0,0,2,2018-08-27
2018,36,351,17,17,0,1,0,0,1,2018-09-03
2018,37,446,14,29,0,0,0,1,5,2018-09-10
2018,38,535,17,22,2,2,0,1,2,2018-09-17
2018,39,561,13,20,0,0,0,0,3,2018-09-24
2018,40,801,11,29,8,0,0,7,11,2018-10-01
2018,41,918,11,52,8,5,0,3,5,2018-10-08
2018,42,1110,22,52,13,1,0,2,14,2018-10-15
2018,43,1113,35,76,3,3,0,0,13,2018-10-22
2018,44,1247,23,84,3,1,0,1,8,2018-10-29
2018,45,1339,27,117,15,5,0,4,7,2018-11-05
2018,46,1426,41,148,12,0,0,2,3,2018-11-12
2018,47,1129,54,215,10,1,0,2,5,2018-11-19
2018,48,1704,64,326,12,1,0,2,10,2018-11-26
2018,49,1728,90,361,14,7,0,3,7,2018-12-03
2018,50,2200,166,675,20,3,0,7,6,2018-12-10
2018,51,2674,248,1115,79,9,0,20,8,2018-12-17
2018,52,2568,274,1243,113,7,0,19,9,2018-12-24
2019,1,2901,305,1182,162,6,0,8,17,2019-01-07
2019,2,3287,233,1430,100,12,0,4,20,2019-01-14
2019,3,3330,367,1475,120,9,0,17,16,2019-01-21
2019,4,3553,513,1549,117,19,0,19,9,2019-01-28
2019,5,4166,807,1678,74,11,0,25,18,2019-02-04
2019,6,4895,1201,1878,77,18,0,18,11,2019-02-11
2019,7,4753,1305,1703,63,23,0,29,18,2019-02-18
2019,8,4787,1501,1481,79,57,0,28,12,2019-02-25
2019,9,4988,1783,1377,83,38,0,34,10,2019-03-04
2019,10,4834,1829,1292,70,57,0,42,27,2019-03-11
2019,11,4521,1826,1051,48,51,0,56,31,2019-03-18
2019,12,3838,1402,745,27,75,0,50,19,2019-03-25
2019,13,3010,1110,472,30,105,0,66,25,2019-04-01
2019,14,2646,887,336,21,96,0,70,20,2019-04-08
2019,15,2142,660,217,9,79,0,58,18,2019-04-15
2019,16,1494,354,130,7,25,0,50,19,2019-04-22
2019,17,1251,218,88,4,67,0,39,14,2019-04-29
2019,18,1043,158,65,6,13,0,40,11,2019-05-06
2019,19,847,94,45,14,22,0,41,9,2019-05-13
2019,20,803,82,43,3,11,0,40,7,2019-05-20
2019,21,553,67,29,4,3,0,27,3,2019-05-27
2019,22,571,55,23,4,20,0,25,11,2019-06-03
2019,23,502,54,25,4,19,0,32,1,2019-06-10
2019,24,438,57,21,7,6,0,19,2,2019-06-17
2019,25,394,52,19,2,9,0,13,0,2019-06-24
2019,26,387,48,21,2,4,0,12,3,2019-07-01
2019,27,363,41,29,3,3,0,13,1,2019-07-08
2019,28,401,42,10,1,2,0,9,1,2019-07-15
2019,29,323,55,12,4,1,0,10,0,2019-07-22
2019,30,296,29,19,2,3,0,11,0,2019-07-29
2019,31,336,30,14,2,1,0,10,2,2019-08-05
2019,32,295,33,7,0,1,0,16,0,2019-08-12
2019,33,344,34,20,3,0,0,38,0,2019-08-19
2019,34,356,38,19,1,2,0,32,0,2019-08-26
2019,35,371,34,14,4,6,0,29,0,2019-09-02
2019,36,453,54,16,9,1,0,29,1,2019-09-09
2019,37,595,69,12,14,2,0,44,2,2019-09-16
2019,38,770,59,27,10,5,0,46,0,2019-09-23
2019,39,798,60,18,18,7,0,49,0,2019-09-30
2019,40,987,57,25,21,7,0,56,1,2019-10-07
2019,41,1101,64,33,22,7,0,70,2,2019-10-14
2019,42,1256,82,36,24,13,0,77,3,2019-10-21
2019,43,1494,78,53,48,20,0,96,5,2019-10-28
2019,44,1597,61,52,83,39,0,120,5,2019-11-04
2019,45,2347,74,122,205,74,0,234,10,2019-11-11
2019,46,2208,58,149,146,89,0,330,10,2019-11-18
2019,47,2808,78,258,173,173,0,423,10,2019-11-25
2019,48,2359,83,369,92,141,0,500,10,2019-12-02
2019,49,3259,83,513,86,195,0,657,14,2019-12-09
2019,50,3504,78,620,41,311,0,807,15,2019-12-16
2019,51,4014,52,915,52,276,0,1110,16,2019-12-23
2019,52,4214,88,1210,27,348,0,1326,24,2019-12-30
2020,1,4240,101,1262,45,189,0,1275,23,2020-01-06
2020,2,4531,86,1338,34,223,0,1145,20,2020-01-13
2020,3,4932,73,1598,56,252,0,1244,12,2020-01-20
2020,4,5000,79,1769,37,256,0,1137,8,2020-01-27
2020,5,6124,92,2366,50,309,0,1073,8,2020-02-03
2020,6,5665,91,2355,64,288,0,875,5,2020-02-10
2020,7,5035,65,2052,129,280,0,744,10,2020-02-17
2020,8,4344,76,1752,119,169,0,564,9,2020-02-24
2020,9,3972,63,1667,50,141,0,454,8,2020-03-02
2020,10,4156,73,1612,65,132,0,352,8,2020-03-09
2020,11,3615,74,1138,52,93,0,197,3,2020-03-16
2020,12,2865,30,444,23,50,0,77,1,2020-03-23
2020,13,2150,7,100,8,34,0,20,2,2020-03-30
2020,14,1479,1,37,4,7,0,5,0,2020-04-06
2020,15,1024,0,28,3,4,0,0,0,2020-04-13
2020,16,887,0,19,0,3,0,2,0,2020-04-20
2020,17,826,0,26,0,4,0,0,0,2020-04-27
2020,18,750,0,23,1,2,0,1,0,2020-05-04
2020,19,661,1,26,0,2,0,0,0,2020-05-11
2020,20,688,0,24,0,3,0,0,0,2020-05-18
2020,21,555,0,0,1,0,0,0,0,2020-05-25
2020,22,533,0,2,1,1,0,0,0,2020-06-01
2020,23,362,0,0,0,2,0,0,0,2020-06-08
2020,24,351,0,1,1,3,0,1,0,2020-06-15
2020,25,401,0,0,0,0,0,0,0,2020-06-22
2020,26,215,0,0,3,0,0,0,0,2020-06-29
2020,27,201,0,0,0,0,1,0,0,2020-07-06
2020,28,265,0,0,1,1,0,0,0,2020-07-13
