YEAR,WEEK,TOTAL SPECIMENS,A (H3),A (2009 H1N1),A (Subtyping not Performed),B,H3N2v,BVic,BYam
2021,40,19717,86,1,5,4,0,3,0
2021,41,19250,93,0,2,8,1,2,0
2021,42,24794,52,0,3,4,0,3,0
2021,43,24959,50,0,7,3,0,8,0
2021,44,24215,183,0,11,1,0,4,0
2021,45,23094,213,0,48,3,0,1,0
2021,46,23971,452,2,77,5,0,4,1
2021,47,16622,526,1,60,4,0,2,0
2021,48,25542,836,1,136,4,0,3,0
2021,49,29962,952,0,241,1,0,2,0
2021,50,32805,1097,0,316,4,0,0,0
2021,51,33188,1022,0,287,3,0,0,0
2021,52,43706,1016,0,506,6,0,0,0
2022,1,66341,814,0,344,8,0,0,0
2022,2,66684,635,0,393,2,0,0,0
2022,3,49917,529,0,202,1,0,0,0
2022,4,40883,403,0,189,5,0,2,0
2022,5,27696,387,0,121,3,0,1,0
2022,6,26692,488,0,147,2,0,0,0
2022,7,22867,408,1,162,1,0,1,0
2022,8,18155,371,0,128,2,0,0,0
2022,9,17681,476,1,135,2,0,1,0
2022,10,15973,489,0,109,0,0,1,0
2022,11,13891,474,3,131,0,0,0,0
2022,12,14380,603,0,98,1,0,0,0
2022,13,13833,666,0,114,1,0,1,0
2022,14,13517,615,0,96,1,0,1,0
2022,15,13937,689,0,119,4,0,0,0
2022,16,14154,703,3,125,3,0,0,0
2022,17,14784,696,3,99,1,0,0,0
2022,18,15465,741,3,92,1,0,0,0
2022,19,15407,647,1,170,3,0,0,0
2022,20,15694,623,4,149,1,0,0,0
2022,21,15103,512,1,114,1,0,0,0
2022,22,14157,472,1,101,1,0,0,0
2022,23,15100,349,0,75,2,0,0,0
2022,24,15901,307,0,46,3,0,0,0
2022,25,17089,168,0,29,1,0,0,0
2022,26,19211,76,1,25,1,0,0,0
2022,27,18863,85,0,12,1,0,0,0
2022,28,20102,115,0,11,1,0,0,0
2022,29,21097,42,1,9,4,0,0,0
2022,30,21459,31,0,15,3,0,0,0
2022,31,18775,40,2,16,2,3,0,0
2022,32,15390,84,1,7,2,0,0,0
2022,33,20736,67,6,7,1,0,1,0
2022,34,18609,77,11,7,0,0,2,0
2022,35,16469,71,8,8,3,0,1,0
2022,36,11581,72,8,11,0,1,0,0
2022,37,11629,68,5,8,5,0,0,0
2022,38,11300,110,17,10,7,0,3,0
2022,39,9961,112,25,18,3,0,1,0
