YEAR,WEEK,TOTAL SPECIMENS,A (H3),A (2009 H1N1),A (Subtyping not Performed),B,H3N2v,BVic,BYam
2019,40,987,57,25,21,7,0,56,1
2019,41,1101,64,33,22,7,0,70,2
2019,42,1256,82,36,24,13,0,77,3
2019,43,1494,78,53,48,20,0,96,5
2019,44,1597,61,52,83,39,0,120,5
2019,45,2347,74,122,205,74,0,234,10
2019,46,2208,58,149,146,89,0,330,10
2019,47,2808,78,258,173,173,0,423,10
2019,48,2359,83,369,92,141,0,500,10
2019,49,3259,83,513,86,195,0,657,14
2019,50,3504,78,620,41,311,0,807,15
2019,51,4014,52,915,52,276,0,1110,16
2019,52,4214,88,1210,27,348,0,1326,24
2020,1,4240,101,1262,45,189,0,1275,23
2020,2,4531,86,1338,34,223,0,1145,20
2020,3,4932,73,1598,56,252,0,1244,12
2020,4,5000,79,1769,37,256,0,1137,8
2020,5,6124,92,2366,50,309,0,1073,8
2020,6,5665,91,2355,64,288,0,875,5
2020,7,5035,65,2052,129,280,0,744,10
2020,8,4344,76,1752,119,169,0,564,9
2020,9,3972,63,1667,50,141,0,454,8
2020,10,4156,73,1612,65,132,0,352,8
2020,11,3615,74,1138,52,93,0,197,3
2020,12,2865,30,444,23,50,0,77,1
2020,13,2150,7,100,8,34,0,20,2
2020,14,1479,1,37,4,7,0,5,0
2020,15,1024,0,28,3,4,0,0,0
2020,16,887,0,19,0,3,0,2,0
2020,17,826,0,26,0,4,0,0,0
2020,18,750,0,23,1,2,0,1,0
2020,19,661,1,26,0,2,0,0,0
2020,20,688,0,24,0,3,0,0,0
2020,21,555,0,0,1,0,0,0,0
2020,22,533,0,2,1,1,0,0,0
2020,23,362,0,0,0,2,0,0,0
2020,24,351,0,1,1,3,0,1,0
2020,25,401,0,0,0,0,0,0,0
2020,26,215,0,0,3,0,0,0,0
2020,27,201,0,0,0,0,1,0,0
2020,28,265,0,0,1,1,0,0,0
2020,29,258,0,0,0,0,0,0,0
2020,30,260,0,0,2,0,0,0,0
2020,31,209,0,0,0,0,0,0,0
2020,32,186,0,0,0,0,0,0,0
2020,33,133,0,0,0,1,0,0,0
2020,34,221,0,0,0,0,0,0,0
2020,35,2357,0,0,0,0,0,0,0
2020,36,2577,0,0,2,1,0,0,0
2020,37,159,1,0,0,0,0,0,0
2020,38,217,0,0,1,0,0,0,0
2020,39,2801,0,0,1,0,0,0,0
