YEAR,WEEK,TOTAL SPECIMENS,A (H3),A (2009 H1N1),A (Subtyping not Performed),B,H3N2v,BVic,BYam
2018,40,801,11,29,8,0,0,7,11
2018,41,918,11,52,8,5,0,3,5
2018,42,1110,22,52,13,1,0,2,14
2018,43,1113,35,76,3,3,0,0,13
2018,44,1247,23,84,3,1,0,1,8
2018,45,1339,27,117,15,5,0,4,7
2018,46,1426,41,148,12,0,0,2,3
2018,47,1129,54,215,10,1,0,2,5
2018,48,1704,64,326,12,1,0,2,10
2018,49,1728,90,361,14,7,0,3,7
2018,50,2200,166,675,20,3,0,7,6
2018,51,2674,248,1115,79,9,0,20,8
2018,52,2568,274,1243,113,7,0,19,9
2019,1,2901,305,1182,162,6,0,8,17
2019,2,3287,233,1430,100,12,0,4,20
2019,3,3330,367,1475,120,9,0,17,16
2019,4,3553,513,1549,117,19,0,19,9
2019,5,4166,807,1678,74,11,0,25,18
2019,6,4895,1201,1878,77,18,0,18,11
2019,7,4753,1305,1703,63,23,0,29,18
2019,8,4787,1501,1481,79,57,0,28,12
2019,9,4988,1783,1377,83,38,0,34,10
2019,10,4834,1829,1292,70,57,0,42,27
2019,11,4521,1826,1051,48,51,0,56,31
2019,12,3838,1402,745,27,75,0,50,19
2019,13,3010,1110,472,30,105,0,66,25
2019,14,2646,887,336,21,96,0,70,20
2019,15,2142,660,217,9,79,0,58,18
2019,16,1494,354,130,7,25,0,50,19
2019,17,1251,218,88,4,67,0,39,14
2019,18,1043,158,65,6,13,0,40,11
2019,19,847,94,45,14,22,0,41,9
2019,20,803,82,43,3,11,0,40,7
2019,21,553,67,29,4,3,0,27,3
2019,22,571,55,23,4,20,0,25,11
2019,23,502,54,25,4,19,0,32,1
2019,24,438,57,21,7,6,0,19,2
2019,25,394,52,19,2,9,0,13,0
2019,26,387,48,21,2,4,0,12,3
2019,27,363,41,29,3,3,0,13,1
2019,28,401,42,10,1,2,0,9,1
2019,29,323,55,12,4,1,0,10,0
2019,30,296,29,19,2,3,0,11,0
2019,31,336,30,14,2,1,0,10,2
2019,32,295,33,7,0,1,0,16,0
2019,33,344,34,20,3,0,0,38,0
2019,34,356,38,19,1,2,0,32,0
2019,35,371,34,14,4,6,0,29,0
2019,36,453,54,16,9,1,0,29,1
2019,37,595,69,12,14,2,0,44,2
2019,38,770,59,27,10,5,0,46,0
2019,39,798,60,18,18,7,0,49,0
