PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS
YEAR,WEEK,AGE 0-4,AGE 5-24,AGE 25-49,AGE 25-64,AGE 50-64,AGE 65,ILITOTAL,TOTAL PATIENTS,NUM. OF PROVIDERS,%UNWEIGHTED ILI,% WEIGHTED ILI
2020,40,2454,4715,5091,X,2362,1844,16466,1524289,3246,1.08024,1.09211
2020,41,2558,5239,6023,X,3004,2320,19144,1602667,3318,1.19451,1.21201
2020,42,2313,4613,5661,X,2547,2101,17235,1569727,3301,1.09796,1.11151
2020,43,2454,4834,5850,X,2821,2174,18133,1571417,3330,1.15393,1.18662
2020,44,2512,4916,6082,X,2752,2292,18554,1560158,3421,1.18924,1.25262
2020,45,2726,5825,7084,X,3282,2453,21370,1597645,3425,1.33759,1.44427
2020,46,2776,5544,7677,X,3728,2873,22598,1639379,3391,1.37845,1.48969
2020,47,2692,5342,7824,X,3956,2895,22709,1585429,3334,1.43236,1.56064
2020,48,2484,4584,7091,X,3962,3192,21313,1421255,3333,1.49959,1.61944
2020,49,2597,4861,7682,X,3976,3135,22251,1534905,3339,1.44967,1.57347
2020,50,2504,4692,7519,X,4067,3321,22103,1549810,3358,1.42617,1.51939
2020,51,2482,4282,7124,X,3841,3145,20874,1493163,3299,1.39797,1.50599
2020,52,2323,3564,6627,X,3918,3404,19836,1361197,3301,1.45725,1.55485
2020,53,2583,3933,7723,X,4516,3668,22423,1458113,3280,1.53781,1.58903
2021,1,2414,4549,7976,X,4359,3413,22711,1582870,3316,1.4348,1.47519
2021,2,2297,3975,6396,X,3520,2830,19018,1508647,3278,1.2606,1.28752
2021,3,2566,4056,5876,X,3310,2542,18350,1515305,3315,1.21098,1.25172
2021,4,2558,3953,5345,X,2803,2237,16896,1504764,3324,1.12283,1.10177
2021,5,2636,4015,4995,X,2525,1927,16098,1487296,3295,1.08237,1.16565
2021,6,2552,3730,4096,X,2129,1572,14079,1443873,3246,0.975086,1.00609
2021,7,2318,3144,3708,X,1918,1503,12591,1387354,3256,0.907555,0.986101
2021,8,2543,3541,3839,X,1900,1521,13344,1550083,3276,0.860857,0.864388
2021,9,2771,3540,3532,X,1810,1347,13000,1543291,3278,0.842356,0.828056
2021,10,3218,3806,3781,X,1901,1371,14077,1559093,3284,0.902897,0.882103
2021,11,3514,3856,3936,X,1909,1359,14574,1551445,3227,0.939382,0.908033
2021,12,3817,3915,4214,X,2054,1354,15354,1599192,3201,0.96011,0.947577
2021,13,4116,4089,4394,X,2129,1265,15993,1602279,3257,0.998141,0.975225
2021,14,4731,4685,5048,X,2281,1355,18100,1679101,3277,1.07796,1.06101
2021,15,5227,4907,5290,X,2358,1383,19165,1728295,3282,1.1089,1.08091
2021,16,5763,5093,4858,X,2140,1451,19305,1678407,3248,1.1502,1.10326
2021,17,6326,5503,4810,X,2042,1418,20099,1698411,3256,1.1834,1.13361
2021,18,6822,5401,4617,X,1802,1288,19930,1648268,3227,1.20915,1.14992
2021,19,7365,5491,4362,X,1841,1308,20367,1623366,3214,1.25462,1.19092
2021,20,8352,5414,4421,X,1742,1333,21262,1683010,3193,1.26333,1.24677
2021,21,7953,4967,3990,X,1590,1175,19675,1652047,3141,1.19095,1.14504
2021,22,8502,4854,3975,X,1572,1240,20143,1609033,3140,1.25187,1.18454
2021,23,8096,4645,3692,X,1527,1222,19182,1674977,3110,1.14521,1.12943
2021,24,8503,4594,3785,X,1508,1189,19579,1656791,3068,1.18174,1.18866
2021,25,8514,4609,3814,X,1652,1301,19890,1643793,3057,1.21001,1.21202
2021,26,8369,4757,4003,X,1672,1291,20092,1656615,3055,1.21283,1.21342
2021,27,8719,5309,4859,X,1976,1508,22371,1683237,3055,1.32905,1.26676
2021,28,9193,5930,6029,X,2399,1710,25261,1750965,3067,1.44269,1.38728
2021,29,10371,7170,7958,X,2897,2149,30545,1787028,3067,1.70926,1.6475
2021,30,11132,8572,9249,X,3614,2628,35195,1842048,3050,1.91065,1.80199
2021,31,11102,8900,10544,X,4327,2883,37756,1839909,3050,2.05206,1.94952
2021,32,11264,10105,11226,X,4555,2917,40067,1858843,3042,2.15548,2.03548
2021,33,11801,12275,11013,X,4739,2893,42721,1852756,3029,2.30581,2.1918
2021,34,11982,13529,10382,X,4339,2826,43058,1865986,3028,2.30752,2.23897
2021,35,11745,13053,9557,X,3886,2623,40864,1814136,3027,2.25253,2.26643
2021,36,11705,12250,9088,X,3733,2645,39421,1781535,3021,2.21275,2.21298
2021,37,11248,11578,7774,X,3289,2304,36193,1805463,3059,2.00464,2.045
2021,38,10916,11380,6853,X,2765,2062,33976,1753523,3037,1.93759,1.90124
2021,39,10133,10040,5627,X,2315,1834,29949,1624427,2877,1.84367,1.8442
