#node	date	numeric date
NODE_0000001	2008-08-21	2008.638630
NODE_0000104	2008-08-21	2008.638630
A/USA/7C7/2010|EPI_ISL_17760635|2010-11-01	2010-11-01	2010.834247
A/Virginia/04/2011|EPI_ISL_88151|2011-01-06	2011-01-06	2011.015068
NODE_0000107	2009-02-26	2009.154009
A/Boston/DOA14/2011|EPI_ISL_108113|2011-01-19	2011-01-19	2011.050685
NODE_0000108	2010-05-28	2010.404836
A/District_of_Columbia/WRAIR0303/2010|EPI_ISL_95354|2010-12-26	2010-12-26	2010.984932
A/New_York/WC-LVD-11-031/2011|EPI_ISL_369621|2011-04-05	2011-04-05	2011.258904
NODE_0000109	2011-09-05	2011.677846
A/Georgia/F32551/2012|EPI_ISL_146809|2012-02-01	2012-02-01	2012.086066
A/Florida/06/2012|EPI_ISL_117054|2012-02-27	2012-02-27	2012.157104
NODE_0000111	2012-02-01	2012.086066
A/Georgia/M5081/2012|EPI_ISL_146773|2012-02-01	2012-02-01	2012.086066
A/Georgia/M5081/2012|EPI_ISL_146774|2012-02-01	2012-02-01	2012.086066
A/Georgia/M5081/2012|EPI_ISL_146775|2012-02-01	2012-02-01	2012.086066
NODE_0000102	2010-09-18	2010.713424
NODE_0000103	2012-09-13	2012.702153
A/Houston/JMM_131/2013|EPI_ISL_189286|2013-01-09	2013-01-09	2013.023288
A/Houston/JMM_155/2013|EPI_ISL_189619|2013-01-21	2013-01-21	2013.056164
NODE_0000097	2011-06-21	2011.470750
NODE_0000098	2012-02-01	2012.086747
A/Houston/JMM_64/2012|EPI_ISL_189157|2012-12-12	2012-12-12	2012.946721
A/Houston/JMM_93/2012|EPI_ISL_189220|2012-12-28	2012-12-28	2012.990437
A/Houston/JMM_148/2013|EPI_ISL_189309|2013-01-15	2013-01-15	2013.039726
NODE_0000101	2013-07-28	2013.570678
A/Maryland/20/2013|EPI_ISL_154243|2013-11-29	2013-11-29	2013.910959
A/New_York/WC-LVD-14-026/2014|EPI_ISL_167651|2014-02-09	2014-02-09	2014.108219
NODE_0000094	2012-12-15	2012.954193
NODE_0000095	2013-07-18	2013.543309
A/New_York/WC-LVD-14-007/2014|EPI_ISL_167632|2014-01-15	2014-01-15	2014.039726
A/California/55/2014|EPI_ISL_192124|2014-03-27	2014-03-27	2014.234247
A/Louisiana/04/2015|EPI_ISL_192131|2015-04-14	2015-04-14	2015.283562
NODE_0000090	2013-04-11	2013.274997
NODE_0000091	2013-12-31	2013.998168
A/California/33/2015|EPI_ISL_237224|2015-01-15	2015-01-15	2015.039726
A/Iowa/23/2014|EPI_ISL_173270|2014-11-23	2014-11-23	2014.894521
NODE_0000093	2014-11-07	2014.850685
A/Florida/63/2014|EPI_ISL_169653|2014-11-07	2014-11-07	2014.850685
A/New_Hampshire/01/2015|EPI_ISL_237268|2015-01-07	2015-01-07	2015.017808
NODE_0000089	2013-10-18	2013.797052
A/Hawaii/03/2014|EPI_ISL_163678|2014-02-22	2014-02-22	2014.143836
NODE_0000078	2015-10-07	2015.766789
A/Texas/02/2016|EPI_ISL_213173|2016-01-05	2016-01-05	2016.012295
A/New_York/65/2016|EPI_ISL_227586|2016-03-28	2016-03-28	2016.239071
NODE_0000086	2016-04-20	2016.301589
A/Arizona/07/2017|EPI_ISL_252742|2017-02-05	2017-02-05	2017.097260
A/Washington/109/2016|EPI_ISL_248359|2016-12-29	2016-12-29	2016.993169
NODE_0000081	2016-01-23	2016.060186
NODE_0000082	2016-10-16	2016.791499
A/Hawaii/24/2017|EPI_ISL_268411|2017-04-05	2017-04-05	2017.258904
A/North_Carolina/28/2017|EPI_ISL_268432|2017-02-26	2017-02-26	2017.154795
NODE_0000083	2019-03-24	2019.226027
A/Hawaii/22/2019|EPI_ISL_353390|2019-03-24	2019-03-24	2019.226027
A/Washington/02/2020|EPI_ISL_2271154|2020-01-03	2020-01-03	2020.006831
NODE_0000024	2016-01-31	2016.083843
A/Wisconsin/09/2017|EPI_ISL_248360|2017-01-17	2017-01-17	2017.045205
NODE_0000022	2016-03-27	2016.235712
NODE_0000023	2016-03-28	2016.239071
A/Idaho/23/2016|EPI_ISL_224099|2016-04-12	2016-04-12	2016.280055
A/Florida/49/2016|EPI_ISL_222181|2016-03-28	2016-03-28	2016.239071
NODE_0000069	2017-01-21	2017.055026
A/Arizona/7958/2019|EPI_ISL_369734|2019-01-10	2019-01-10	2019.026027
A/Ohio/7173/2018|EPI_ISL_376755|2018-01-06	2018-01-06	2018.015068
NODE_0000072	2017-06-25	2017.480537
A/Michigan/136/2018|EPI_ISL_360559|2018-01-16	2018-01-16	2018.042466
A/Minnesota/56/2019|EPI_ISL_400071|2019-11-04	2019-11-04	2019.842466
NODE_0000036	2017-06-21	2017.468605
