A/Louisiana/23/2023|EPI_ISL_18886009|2023-12-12
A/California/109/2017|EPI_ISL_285674|2017-10-05
A/New_Jersey/13772/2022|EPI_ISL_16574523|2022-11-28
A/Illinois/61/2017|EPI_ISL_298584|2017-12-26
A/Texas/305/2017|EPI_ISL_288673|2017-11-27
A/Michigan/128/2018|EPI_ISL_360543|2018-01-15
A/Kansas/09/2018|EPI_ISL_305285|2018-01-05
A/Minnesota/18/2018|EPI_ISL_305096|2018-02-21
A/Minnesota/42/2017|EPI_ISL_288667|2017-11-19
A/Texas/21/2018|EPI_ISL_360458|2018-01-02
A/Georgia/27/2014|EPI_ISL_188896|2014-01-01
A/New_York/36/2017|EPI_ISL_284902|2017-10-21
A/Delaware/65/2022|EPI_ISL_16201667|2022-11-14
A/California/154/2023|EPI_ISL_18862397|2023-12-28
