"virus","year","weighted","total","sd","mean"
"H1N1","2015",5.13023729801288e-05,11408,0.00268266698411638,0.00187912352155165
"H1N1","2016",4.23548223041439e-06,807,0.00435398572205336,0.00265748163778129
"H1N1","2017",1.81956517389749e-05,4616,0.00271628823275801,0.00198665212468321
"H1N1","2018",5.05002743121978e-05,16844,0.00393430246084348,0.00271224849300128
"H1N1","2019",5.96219985752914e-05,17470,0.00283785309476821,0.00219393074709119
"H1N1","2021",2.83855870829728e-07,80,0.160204514070879,0.0761582364529065
"H1N1","2022",2.99351001023682e-05,6267,0.00247944972546979,0.00170178935626054
"H1N1","2023",6.11739312371943e-05,12241,0.00242431028353777,0.00170915280168706
"H3N2","2015",1.82186211662617e-05,3659,0.00176827031517817,0.00143798216839001
"H3N2","2016",0.000108883726208587,29080,0.00263476551408694,0.0025753588139345
"H3N2","2017",0.000106946009666962,28970,0.00271370870303342,0.00246671004635355
"H3N2","2018",5.50271209430835e-05,16100,0.00314898991619888,0.00290988958916082
"H3N2","2019",9.1523360247847e-06,1602,0.00220315528326589,0.00171865330666451
"H3N2","2021",8.69971415275046e-05,19954,0.00570090573194697,0.00306267769606294
"H3N2","2022",7.49227150817918e-05,16400,0.00245149651283472,0.00195175740521737
"H3N2","2023",4.17692347336901e-05,7421,0.00200806972440193,0.00181599633852405
