"date_det","wildbird_count","domestic_count","mammal_count","cattle_count","total_counts"
2021-12-30,4,0,0,0,4
2022-01-01,2,0,0,0,2
2022-01-06,22,0,0,0,22
2022-01-08,51,0,0,0,51
2022-01-15,8,0,0,0,8
2022-01-21,2,0,0,0,2
2022-01-22,11,0,0,0,11
2022-01-23,1,0,0,0,1
2022-01-24,3,0,0,0,3
2022-01-25,14,0,0,0,14
2022-01-26,55,0,0,0,55
2022-01-27,4,0,0,0,4
2022-01-28,6,0,0,0,6
2022-01-29,37,0,0,0,37
2022-01-30,4,0,0,0,4
2022-01-31,11,0,0,0,11
2022-02-01,7,0,0,0,7
2022-02-02,5,0,0,0,5
2022-02-03,20,0,0,0,20
2022-02-04,1,0,0,0,1
2022-02-05,3,0,0,0,3
2022-02-06,11,0,0,0,11
2022-02-07,25,0,0,0,25
2022-02-08,7,1,0,0,8
2022-02-09,2,0,0,0,2
2022-02-10,1,0,0,0,1
2022-02-12,7,2,0,0,9
2022-02-13,3,0,0,0,3
2022-02-14,2,0,0,0,2
2022-02-16,14,1,0,0,15
2022-02-17,2,0,0,0,2
2022-02-18,6,1,0,0,7
2022-02-20,1,0,0,0,1
2022-02-21,6,0,0,0,6
2022-02-22,27,1,0,0,28
2022-02-23,4,4,0,0,8
2022-02-24,9,3,0,0,12
2022-02-25,3,0,0,0,3
2022-02-26,3,0,0,0,3
2022-02-27,1,0,0,0,1
2022-02-28,16,0,0,0,16
2022-03-01,7,2,0,0,9
2022-03-02,12,1,0,0,13
2022-03-03,2,0,0,0,2
2022-03-04,22,3,0,0,25
2022-03-05,2,1,0,0,3
2022-03-06,6,1,0,0,7
2022-03-07,20,0,0,0,20
2022-03-08,32,3,0,0,35
2022-03-09,17,1,0,0,18
2022-03-10,5,2,0,0,7
2022-03-11,6,2,0,0,8
2022-03-12,11,2,0,0,13
2022-03-13,3,0,0,0,3
2022-03-14,22,2,0,0,24
2022-03-15,10,2,0,0,12
2022-03-16,19,1,0,0,20
2022-03-17,26,4,0,0,30
2022-03-18,34,4,0,0,38
2022-03-19,2,2,0,0,4
2022-03-20,4,2,0,0,6
2022-03-21,29,0,0,0,29
2022-03-22,24,5,0,0,29
2022-03-23,47,4,0,0,51
2022-03-24,8,4,0,0,12
2022-03-25,23,4,0,0,27
2022-03-26,5,7,0,0,12
2022-03-27,6,3,0,0,9
2022-03-28,13,2,0,0,15
2022-03-29,21,12,0,0,33
2022-03-30,9,4,0,0,13
2022-03-31,17,7,0,0,24
2022-04-01,43,6,0,0,49
2022-04-02,5,9,0,0,14
2022-04-03,5,3,0,0,8
2022-04-04,36,8,0,0,44
2022-04-05,37,18,0,0,55
2022-04-06,22,7,0,0,29
2022-04-07,31,5,0,0,36
2022-04-08,22,7,0,0,29
2022-04-09,8,4,0,0,12
2022-04-10,22,0,0,0,22
2022-04-11,35,1,0,0,36
2022-04-12,24,11,0,0,35
2022-04-13,32,8,0,0,40
2022-04-14,27,8,0,0,35
2022-04-15,30,5,0,0,35
2022-04-16,6,1,0,0,7
2022-04-17,6,0,0,0,6
2022-04-18,23,0,0,0,23
2022-04-19,28,12,0,0,40
2022-04-20,22,9,0,0,31
2022-04-21,56,6,0,0,62
2022-04-22,38,4,0,0,42
2022-04-23,3,1,0,0,4
2022-04-24,11,0,0,0,11
2022-04-25,27,4,0,0,31
2022-04-26,29,4,0,0,33
2022-04-27,41,4,0,0,45
2022-04-28,52,6,0,0,58
2022-04-29,43,10,0,0,53
2022-04-30,7,5,0,0,12
2022-05-01,10,0,0,0,10
2022-05-02,41,0,0,0,41
2022-05-03,29,11,0,0,40
2022-05-04,15,4,0,0,19
2022-05-05,36,3,2,0,41
2022-05-06,14,3,3,0,20
2022-05-07,4,2,0,0,6
2022-05-08,4,0,0,0,4
2022-05-09,46,1,0,0,47
2022-05-10,31,8,1,0,40
2022-05-11,25,6,5,0,36
2022-05-12,31,5,4,0,40
2022-05-13,10,6,7,0,23
2022-05-14,3,1,0,0,4
2022-05-15,2,0,0,0,2
2022-05-16,19,1,5,0,25
2022-05-17,17,12,0,0,29
2022-05-18,20,7,1,0,28
2022-05-19,31,6,1,0,38
2022-05-20,9,4,0,0,13
2022-05-21,2,1,0,0,3
2022-05-22,11,0,0,0,11
2022-05-23,17,2,0,0,19
2022-05-24,18,3,2,0,23
2022-05-25,11,1,1,0,13
2022-05-26,6,0,0,0,6
2022-05-27,7,1,3,0,11
2022-05-28,2,0,0,0,2
2022-05-29,1,0,0,0,1
2022-05-31,8,1,2,0,11
2022-06-01,6,1,0,0,7
2022-06-02,11,2,2,0,15
2022-06-03,9,0,1,0,10
2022-06-04,3,0,0,0,3
2022-06-06,20,1,0,0,21
2022-06-07,11,3,1,0,15
2022-06-08,17,1,2,0,20
2022-06-09,9,5,4,0,18
2022-06-10,31,0,0,0,31
2022-06-11,4,0,0,0,4
2022-06-12,3,0,0,0,3
2022-06-13,7,1,0,0,8
2022-06-14,27,1,4,0,32
2022-06-15,3,0,0,0,3
2022-06-16,3,0,0,0,3
2022-06-17,2,0,4,0,6
2022-06-18,2,0,0,0,2
2022-06-19,1,0,0,0,1
2022-06-20,3,0,0,0,3
2022-06-21,6,0,1,0,7
2022-06-22,6,4,2,0,12
2022-06-23,8,0,0,0,8
2022-06-24,10,1,2,0,13
2022-06-25,2,0,0,0,2
2022-06-26,17,0,0,0,17
2022-06-27,4,0,0,0,4
