location,flyway
Vermont,Atlantic Flyway
Connecticut,Atlantic Flyway
Delaware,Atlantic Flyway
Florida,Atlantic Flyway
Georgia,Atlantic Flyway
Maine,Atlantic Flyway
Maryland,Atlantic Flyway
Massachusetts,Atlantic Flyway
New Hampshire,Atlantic Flyway
New York,Atlantic Flyway
New Jersey,Atlantic Flyway
Pennsylvania,Atlantic Flyway
North Carolina,Atlantic Flyway
South Carolina,Atlantic Flyway
Rhode Island,Atlantic Flyway
Virginia,Atlantic Flyway
West Virginia,Atlantic Flyway
Newfoundland,Atlantic Flyway
New Brunswick,Atlantic Flyway
Nova Scotia,Atlantic Flyway
Ontario,Atlantic Flyway
Prince Edward Island,Atlantic Flyway
Quebec,Atlantic Flyway
Louisiana,Mississippi Flyway
Mississippi,Mississippi Flyway
Arkansas,Mississippi Flyway
Tennessee,Mississippi Flyway
Kentucky,Mississippi Flyway
Missouri,Mississippi Flyway
Illinois,Mississippi Flyway
Indiana,Mississippi Flyway
Iowa,Mississippi Flyway
Wisconsin,Mississippi Flyway
Minnesota,Mississippi Flyway
Alabama,Mississippi Flyway
Michigan,Mississippi Flyway
Ohio,Mississippi Flyway
Saskatchewan,Mississippi Flyway
Manitoba,Mississippi Flyway
Ontario,Mississippi Flyway
Montana,Central Flyway
Wyoming,Central Flyway
Colorado,Central Flyway
North Dakota,Central Flyway
South Dakota,Central Flyway
Nebraska,Central Flyway
Kansas,Central Flyway
Oklahoma,Central Flyway
Texas,Central Flyway
New Mexico,Central Flyway
Alberta,Central Flyway
Saskatchewan,Central Flyway
Alaska,Pacific Flyway
Hawaii,Pacific Flyway
Washington,Pacific Flyway
Oregon,Pacific Flyway
California,Pacific Flyway
Nevada,Pacific Flyway
Arizona,Pacific Flyway
Utah,Pacific Flyway
Idaho,Pacific Flyway
British Columbia,Pacific Flyway
Honduras,Central Flyway
Costa Rica,Central Flyway
Panama,Central Flyway
