Province,Common Name,Scientific Name,Animal Class,Bird Group,Collection Date,Status,Result,Strain,Lineage,Result Authorised Date,CCSNAME
Newfoundland and Labrador,Great Black-Backed Gull,Larus marinus,Avian,Seabird,11/4/21,Dead,Confirmed,H5N1,Fully Eurasian,1/10/22,"Division No.  1, Subd. H"
Newfoundland and Labrador,Great Black-Backed Gull,Larus marinus,Avian,Seabird,11/26/21,Dead,Confirmed,H5N1,Fully Eurasian,12/29/21,St. John's
Newfoundland and Labrador,Northern Saw-whet Owl,Aegolius acadicus,Avian,Raptor,12/12/21,Euthanized,Confirmed,H5N1,Fully Eurasian,1/25/22,St. John's
Newfoundland and Labrador,American Black Duck,Anas rubripes,Avian,Waterfowl,12/24/21,Live,Confirmed,H5N1,Fully Eurasian,1/14/22,St. John's
Newfoundland and Labrador,American Black Duck,Anas rubripes,Avian,Waterfowl,12/24/21,Live,Confirmed,H5N1,Fully Eurasian,1/14/22,St. John's
Newfoundland and Labrador,Great Black-Backed Gull,Larus marinus,Avian,Seabird,12/29/21,Euthanized,Confirmed,H5N1,Fully Eurasian,1/25/22,St. John's
Newfoundland and Labrador,Great Black-Backed Gull,Larus marinus,Avian,Seabird,1/7/22,Euthanized,Confirmed,H5N1,Fully Eurasian,1/25/22,"Division No.  1, Subd. H"
Nova Scotia,Canada Goose,Branta canadensis,Avian,Waterfowl,1/12/22,Dead,Confirmed,H5N1,Fully Eurasian,1/27/22,Halifax
Newfoundland and Labrador,Herring Gull,Larus argentatus,Avian,Seabird,1/14/22,Euthanized,Confirmed,H5N1,Fully Eurasian,2/4/22,St. John's
Newfoundland and Labrador,American Crow,Corvus brachyrhynchos,Avian,Corvid,1/18/22,Dead,Confirmed,H5N1,Fully Eurasian,2/11/22,"Division No.  9, Subd. F"
Prince Edward Island,Bald Eagle,Haliaeetus leucocephalus,Avian,Raptor,1/22/22,Dead,Confirmed,H5N1,Fully Eurasian,2/25/22,"Stanley Bridge, Hope River, Bayview, Cavendish and North Rustico"
Nova Scotia,Mallard,Anas platyrhynchos,Avian,Waterfowl,1/26/22,Live,Confirmed,H5N1,Fully Eurasian,2/28/22,West Hants
Nova Scotia,Mallard,Anas platyrhynchos,Avian,Waterfowl,1/26/22,Live,Confirmed,H5N1,Fully Eurasian,2/28/22,West Hants
Nova Scotia,Mallard,Anas platyrhynchos,Avian,Waterfowl,1/26/22,Live,Confirmed,H5N1,Fully Eurasian,2/28/22,West Hants
Nova Scotia,Mallard,Anas platyrhynchos,Avian,Waterfowl,1/26/22,Live,Confirmed,H5N1,Fully Eurasian,2/28/22,West Hants
Nova Scotia,Mallard,Anas platyrhynchos,Avian,Waterfowl,1/26/22,Live,Confirmed,H5N1,Fully Eurasian,2/28/22,West Hants
Nova Scotia,Mallard,Anas platyrhynchos,Avian,Waterfowl,1/26/22,Live,Confirmed,H5N1,Fully Eurasian,2/28/22,West Hants
Nova Scotia,Mallard,Anas platyrhynchos,Avian,Waterfowl,1/26/22,Live,Confirmed,H5N1,Fully Eurasian,2/28/22,West Hants
