Confirmed,State,Special Id,Production,Species,No Measure Value
6/3/25,California,CA 773,Dairy Milking Cows,Cattle,
5/21/25,Idaho,ID 110,Dairy Milking Cows,Cattle,
5/21/25,Idaho,ID 111,Dairy Milking Cows,Cattle,
5/19/25,Idaho,ID 105,Dairy Milking Cows,Cattle,
5/19/25,Idaho,ID 106,Dairy Milking Cows,Cattle,
5/19/25,Idaho,ID 107,Dairy Milking Cows,Cattle,
5/19/25,Idaho,ID 108,Dairy Milking Cows,Cattle,
5/19/25,Idaho,ID 109,Dairy Milking Cows,Cattle,
5/12/25,Idaho,ID 095,Dairy Milking Cows,Cattle,
5/12/25,Idaho,ID 096,Dairy Milking Cows,Cattle,
5/12/25,Idaho,ID 097,Dairy Milking Cows,Cattle,
5/12/25,Idaho,ID 098,Dairy Milking Cows,Cattle,
5/12/25,Idaho,ID 099,Dairy Milking Cows,Cattle,
5/12/25,Idaho,ID 100,Dairy Milking Cows,Cattle,
5/12/25,Idaho,ID 101,Dairy Milking Cows,Cattle,
5/12/25,Idaho,ID 102,Dairy Milking Cows,Cattle,
5/12/25,Idaho,ID 103,Dairy Milking Cows,Cattle,
5/12/25,Idaho,ID 104,Dairy Milking Cows,Cattle,
5/12/25,Texas,TX 028,Dairy Milking Cows,Cattle,
5/12/25,Texas,TX 029,Dairy Milking Cows,Cattle,
5/7/25,Arizona,AZ 004,Dairy Milking Cows,Cattle,
5/5/25,Idaho,ID 091,Dairy Milking Cows,Cattle,
5/5/25,Idaho,ID 092,Dairy Milking Cows,Cattle,
5/5/25,Idaho,ID 093,Dairy Milking Cows,Cattle,
5/5/25,Idaho,ID 094,Dairy Milking Cows,Cattle,
4/30/25,California,CA 764,Dairy Milking Cows,Cattle,
4/28/25,Idaho,ID 076,Dairy Milking Cows,Cattle,
4/28/25,Idaho,ID 077,Dairy Milking Cows,Cattle,
4/28/25,Idaho,ID 078,Dairy Milking Cows,Cattle,
4/28/25,Idaho,ID 079,Dairy Milking Cows,Cattle,
4/28/25,Idaho,ID 080,Dairy Milking Cows,Cattle,
4/28/25,Idaho,ID 081,Dairy Milking Cows,Cattle,
4/28/25,Idaho,ID 082,Dairy Milking Cows,Cattle,
4/28/25,Idaho,ID 083,Dairy Milking Cows,Cattle,
4/28/25,Idaho,ID 084,Dairy Milking Cows,Cattle,
4/28/25,Idaho,ID 085,Dairy Milking Cows,Cattle,
