transmission	recovery	sampling	population_size
1.381699	1.000000	0.010783	12997.000000
2.027670	1.000000	0.015198	14449.000000
1.507033	1.000000	0.010365	14961.000000
1.921352	1.000000	0.012651	14235.000000
1.703172	1.000000	0.010633	13776.000000
1.571436	1.000000	0.010167	14109.000000
1.984335	1.000000	0.011761	14209.000000
2.698969	1.000000	0.009296	14060.000000
5.011573	1.000000	0.009049	15652.000000
1.383818	1.000000	0.009532	12088.000000
5.122152	1.000000	0.007660	14024.000000
2.733440	1.000000	0.009010	13928.000000
3.593360	1.000000	0.008671	13243.000000
4.366989	1.000000	0.008423	14461.000000
2.781203	1.000000	0.012125	15662.000000
1.945373	1.000000	0.018425	13207.000000
2.585377	1.000000	0.009469	14170.000000
2.026191	1.000000	0.006176	13650.000000
2.626229	1.000000	0.010995	13415.000000
1.379421	1.000000	0.009719	15237.000000
3.053405	1.000000	0.010868	15634.000000
1.683836	1.000000	0.012531	12476.000000
3.426796	1.000000	0.011020	12840.000000
2.547412	1.000000	0.007957	12994.000000
2.027941	1.000000	0.010276	12560.000000
2.691154	1.000000	0.014077	16366.000000
3.699964	1.000000	0.011475	14185.000000
1.402615	1.000000	0.010111	14546.000000
6.361439	1.000000	0.010178	12082.000000
2.738510	1.000000	0.009387	14741.000000
1.452978	1.000000	0.005532	11024.000000
1.236707	1.000000	0.009072	11882.000000
7.749273	1.000000	0.009400	12961.000000
1.221029	1.000000	0.009491	14025.000000
1.519746	1.000000	0.008775	13559.000000
3.988040	1.000000	0.009704	16720.000000
2.417688	1.000000	0.010283	12965.000000
1.616305	1.000000	0.013591	13222.000000
5.370263	1.000000	0.006801	13394.000000
3.253618	1.000000	0.007492	14438.000000
3.106558	1.000000	0.006768	13364.000000
2.702335	1.000000	0.010732	13930.000000
1.628593	1.000000	0.006677	14964.000000
2.672854	1.000000	0.008628	13221.000000
2.054017	1.000000	0.015915	15140.000000
1.433718	1.000000	0.008858	17092.000000
3.323789	1.000000	0.010778	13727.000000
1.845980	1.000000	0.008493	14220.000000
3.099731	1.000000	0.016524	16555.000000
2.936843	1.000000	0.011017	13071.000000
