transmission	recovery	sampling	population_size	k
2.230273	1.000000	0.010783	12997.000000	0.657832
4.559273	1.000000	0.012164	12074.000000	1.154322
3.981449	1.000000	0.008767	14677.000000	1.886814
2.476170	1.000000	0.010633	13776.000000	0.395106
3.050099	1.000000	0.011461	12757.000000	1.913271
3.500000	1.000000	0.010390	12975.000000	1.666637
4.247548	1.000000	0.009049	15652.000000	0.306392
2.859498	1.000000	0.007787	15421.000000	0.344265
3.387230	1.000000	0.010456	12814.000000	1.517160
3.596678	1.000000	0.008671	13243.000000	3.051295
2.526942	1.000000	0.012190	13648.000000	2.161105
4.463971	1.000000	0.008821	17059.000000	0.891448
3.050796	1.000000	0.009469	14170.000000	0.656872
1.852794	1.000000	0.010552	13492.000000	1.461660
3.031320	1.000000	0.007428	13208.000000	3.723543
3.315457	1.000000	0.010868	15634.000000	0.453649
3.759162	1.000000	0.008427	14229.000000	1.474829
2.716704	1.000000	0.010094	12193.000000	0.757457
2.701960	1.000000	0.010276	12560.000000	1.158770
4.222970	1.000000	0.016609	14449.000000	1.733597
3.485184	1.000000	0.007490	13419.000000	2.340857
4.785518	1.000000	0.010178	12082.000000	1.199910
2.816219	1.000000	0.012789	11986.000000	0.093659
1.855661	1.000000	0.007033	12849.000000	0.309604
5.281797	1.000000	0.009400	12961.000000	0.238546
2.847365	1.000000	0.011293	12094.000000	0.592943
3.113200	1.000000	0.012630	13200.000000	9.425429
2.950199	1.000000	0.010283	12965.000000	0.417991
4.077189	1.000000	0.009744	15567.000000	0.213988
3.019481	1.000000	0.011408	11903.000000	2.173217
3.344190	1.000000	0.006768	13364.000000	1.168419
3.219499	1.000000	0.011101	12262.000000	0.198729
3.983455	1.000000	0.010340	12594.000000	0.900826
2.719276	1.000000	0.015915	15140.000000	0.328887
2.657374	1.000000	0.018512	14143.000000	1.349524
3.210696	1.000000	0.008593	12515.000000	1.867075
2.059741	1.000000	0.011135	16332.000000	8.536697
3.251559	1.000000	0.011017	13071.000000	0.133187
2.344519	1.000000	0.015014	11976.000000	0.395268
3.109492	1.000000	0.014057	12547.000000	16.021388
2.369516	1.000000	0.010186	12454.000000	2.185073
4.006100	1.000000	0.009497	11827.000000	0.027301
4.856249	1.000000	0.012410	13056.000000	1.338729
2.634785	1.000000	0.009898	11079.000000	0.285754
3.311084	1.000000	0.012491	16714.000000	0.609947
1.994068	1.000000	0.012022	12215.000000	0.136910
4.246146	1.000000	0.008925	15033.000000	0.818985
2.376840	1.000000	0.009508	13638.000000	0.641681
2.461701	1.000000	0.011524	13686.000000	0.917776
3.158430	1.000000	0.010933	12303.000000	6.797540
2.775618	1.000000	0.010141	13001.000000	0.803244
1.894781	1.000000	0.010103	11653.000000	1.388014
2.437739	1.000000	0.010783	12808.000000	2.068616
4.163442	1.000000	0.009385	12573.000000	1.473812
3.084956	1.000000	0.009327	11942.000000	4.975158
3.435498	1.000000	0.010184	11749.000000	1.219055
2.555613	1.000000	0.014218	15365.000000	0.774575
2.899199	1.000000	0.009317	11848.000000	0.150684
3.110078	1.000000	0.010848	14493.000000	0.481159
2.949867	1.000000	0.014336	13854.000000	0.259360
3.322548	1.000000	0.010694	14307.000000	0.975836
3.194700	1.000000	0.007720	14509.000000	0.681398
1.745314	1.000000	0.010097	13174.000000	0.784041
3.358817	1.000000	0.009345	12352.000000	1.643050
3.065107	1.000000	0.010820	14622.000000	1.485627
2.608497	1.000000	0.014958	14436.000000	4.276034
2.620004	1.000000	0.011254	11393.000000	1.554650
2.785348	1.000000	0.005954	14602.000000	0.318711
2.836330	1.000000	0.009005	13633.000000	0.133213
