transmission	recovery	population_size	d
1.109059	1.000000	15448.000000	2.207822
1.402704	1.000000	16983.000000	0.130927
1.682735	1.000000	15112.000000	0.458682
2.061246	1.000000	17497.000000	3.378271
1.836764	1.000000	15541.000000	1.535024
2.184189	1.000000	14913.000000	1.931056
1.069733	1.000000	15992.000000	0.058932
1.128923	1.000000	15929.000000	0.369678
1.510436	1.000000	14807.000000	1.789238
1.433708	1.000000	16099.000000	1.367958
1.530660	1.000000	13718.000000	0.130745
1.512608	1.000000	16429.000000	0.716125
1.688073	1.000000	13304.000000	1.369135
1.239917	1.000000	18534.000000	2.315427
1.807388	1.000000	14280.000000	0.312205
1.441688	1.000000	15595.000000	0.696285
1.838027	1.000000	14298.000000	0.343963
3.304488	1.000000	16705.000000	4.046088
1.728038	1.000000	13481.000000	0.835763
1.216148	1.000000	14449.000000	2.206055
1.513151	1.000000	18112.000000	1.073483
1.154503	1.000000	17715.000000	0.517485
1.533456	1.000000	15548.000000	0.340993
1.636910	1.000000	15290.000000	1.111179
1.536509	1.000000	15069.000000	1.855743
1.841096	1.000000	16166.000000	3.370314
1.416811	1.000000	16654.000000	0.875604
1.348716	1.000000	14767.000000	0.447706
1.422738	1.000000	14677.000000	1.082421
2.602674	1.000000	17135.000000	1.846452
1.628040	1.000000	13999.000000	1.370046
1.311411	1.000000	16228.000000	0.187132
1.122507	1.000000	17087.000000	1.340277
1.345554	1.000000	14253.000000	1.409330
2.214412	1.000000	16108.000000	0.550072
1.449708	1.000000	13001.000000	0.700603
1.523366	1.000000	16469.000000	1.122541
1.398852	1.000000	13787.000000	0.619873
1.597533	1.000000	14939.000000	0.506605
1.517516	1.000000	17417.000000	0.056508
1.790915	1.000000	18878.000000	1.471601
1.164621	1.000000	14712.000000	0.487136
1.949770	1.000000	14894.000000	0.655943
1.536044	1.000000	15184.000000	0.111803
1.861296	1.000000	15537.000000	1.977264
1.746368	1.000000	12923.000000	1.099870
1.510914	1.000000	14708.000000	0.178385
1.230408	1.000000	12950.000000	8.333201
1.153057	1.000000	16989.000000	0.928122
2.157108	1.000000	14236.000000	3.117987
1.177059	1.000000	17387.000000	4.299243
1.179976	1.000000	14491.000000	1.623890
1.820596	1.000000	19110.000000	0.274072
2.093237	1.000000	11707.000000	1.287158
1.918167	1.000000	17584.000000	1.737046
1.554754	1.000000	17467.000000	0.630544
1.510784	1.000000	13858.000000	1.486009
1.755002	1.000000	11504.000000	6.799862
1.417944	1.000000	14492.000000	0.977401
1.380658	1.000000	14150.000000	0.169922
1.027134	1.000000	16080.000000	10.786079
1.816662	1.000000	16387.000000	7.255375
1.271077	1.000000	14195.000000	1.186740
1.511270	1.000000	12957.000000	0.287511
1.382955	1.000000	13815.000000	2.383693
1.141992	1.000000	17634.000000	0.123264
2.298272	1.000000	19736.000000	0.719500
1.894495	1.000000	15196.000000	0.070754
1.427312	1.000000	15474.000000	6.011188
1.915786	1.000000	15636.000000	0.389798
1.331716	1.000000	14716.000000	1.394050
1.508578	1.000000	15937.000000	3.979812
1.293379	1.000000	13590.000000	0.661201
2.246459	1.000000	14070.000000	2.145928
1.775901	1.000000	14648.000000	0.400562
1.585688	1.000000	17160.000000	2.385475
1.700382	1.000000	15128.000000	0.217484
1.111441	1.000000	14058.000000	2.626815
1.138749	1.000000	12317.000000	1.948751
1.435051	1.000000	13537.000000	0.950937
2.070568	1.000000	15185.000000	8.525393
1.485045	1.000000	15373.000000	0.637126
2.082351	1.000000	15843.000000	0.881942
1.860533	1.000000	18913.000000	9.175551
1.601290	1.000000	12859.000000	0.360669
2.128169	1.000000	15078.000000	0.782729
1.150346	1.000000	15999.000000	1.445038
1.564020	1.000000	13316.000000	0.170417
1.950389	1.000000	15100.000000	1.009704
1.406589	1.000000	14474.000000	0.507772
1.452557	1.000000	15216.000000	1.282818
1.913816	1.000000	15180.000000	0.622957
2.556576	1.000000	14260.000000	1.010861
1.901220	1.000000	14167.000000	0.088314
