transmission	recovery	population_size	d
1.109059	1.000000	7302.000000	1.165509
2.027484	1.000000	6660.000000	6.415336
1.270842	1.000000	7611.000000	0.355210
1.603616	1.000000	6869.000000	0.182911
2.165786	1.000000	6292.000000	0.419265
1.164601	1.000000	7084.000000	0.056347
1.779708	1.000000	8663.000000	0.479945
1.422642	1.000000	7572.000000	0.615765
1.615338	1.000000	8527.000000	2.706932
1.527578	1.000000	6577.000000	1.102273
2.775045	1.000000	6553.000000	1.153384
1.117411	1.000000	9091.000000	1.866021
2.382818	1.000000	6484.000000	2.157262
1.767740	1.000000	8578.000000	1.635341
1.182499	1.000000	7566.000000	2.132658
1.902341	1.000000	6708.000000	0.162911
1.489454	1.000000	6218.000000	2.796492
1.641261	1.000000	7176.000000	0.692519
1.053204	1.000000	9186.000000	0.983588
1.400294	1.000000	7044.000000	5.381541
1.692810	1.000000	6628.000000	1.490889
1.316378	1.000000	8936.000000	1.128711
1.272462	1.000000	6939.000000	11.547412
1.592670	1.000000	7619.000000	1.005269
1.136009	1.000000	8832.000000	2.664806
1.589586	1.000000	8226.000000	0.444284
1.810560	1.000000	7010.000000	1.431176
1.366415	1.000000	10144.000000	1.054106
1.644757	1.000000	6002.000000	0.429714
1.364107	1.000000	8715.000000	10.458218
1.630820	1.000000	6195.000000	1.285855
1.354682	1.000000	7696.000000	0.876702
1.065989	1.000000	5753.000000	2.184593
1.398425	1.000000	9317.000000	6.267443
1.422991	1.000000	8182.000000	4.498861
1.497660	1.000000	7042.000000	0.758079
1.988178	1.000000	6228.000000	1.745453
2.454796	1.000000	5879.000000	1.113861
1.312834	1.000000	5771.000000	1.761152
1.456238	1.000000	7531.000000	3.756193
1.342950	1.000000	5764.000000	2.740000
1.433234	1.000000	6243.000000	0.699444
2.225767	1.000000	5478.000000	9.122893
1.070224	1.000000	6948.000000	0.651190
1.318929	1.000000	11286.000000	2.390048
1.323303	1.000000	7348.000000	1.361041
1.533443	1.000000	7012.000000	0.659700
1.181012	1.000000	6539.000000	1.813153
1.404128	1.000000	7038.000000	0.677960
1.495936	1.000000	10783.000000	2.055321
1.696507	1.000000	10283.000000	1.804972
1.185896	1.000000	7832.000000	1.708538
1.689312	1.000000	5418.000000	0.344134
1.317159	1.000000	8616.000000	0.518601
1.565131	1.000000	9420.000000	1.716813
1.239552	1.000000	6687.000000	0.678079
1.431705	1.000000	7457.000000	0.197595
1.657560	1.000000	6714.000000	5.016278
1.831981	1.000000	7997.000000	0.544083
1.410932	1.000000	9261.000000	0.878717
1.734184	1.000000	6171.000000	2.114618
1.478856	1.000000	7442.000000	0.591335
1.377418	1.000000	7943.000000	0.476968
1.567863	1.000000	8234.000000	1.210359
2.155850	1.000000	8845.000000	1.750983
1.692630	1.000000	6021.000000	1.780320
2.091746	1.000000	6839.000000	0.564245
1.186329	1.000000	7447.000000	3.493463
1.132705	1.000000	8152.000000	0.256907
1.622691	1.000000	6654.000000	0.176731
1.243218	1.000000	7548.000000	0.788822
1.403470	1.000000	10376.000000	4.858419
1.642560	1.000000	8491.000000	0.778208
1.339810	1.000000	7397.000000	2.969315
1.156195	1.000000	10020.000000	2.802128
1.408291	1.000000	5160.000000	1.473768
1.376329	1.000000	6620.000000	0.326587
1.279263	1.000000	9570.000000	0.485518
1.545100	1.000000	7141.000000	1.059756
1.907056	1.000000	8733.000000	0.550393
1.265998	1.000000	6381.000000	3.167366
1.892646	1.000000	6091.000000	1.124805
1.552407	1.000000	8630.000000	13.179619
2.203451	1.000000	7893.000000	0.343014
1.262444	1.000000	6485.000000	0.109035
1.193831	1.000000	7448.000000	0.859555
1.273544	1.000000	7396.000000	0.227855
1.677694	1.000000	7940.000000	0.168441
1.168630	1.000000	7199.000000	0.582718
1.276173	1.000000	7809.000000	0.703158
1.979737	1.000000	6735.000000	0.328557
1.453711	1.000000	6171.000000	3.000451
1.442196	1.000000	10369.000000	0.285708
1.453903	1.000000	10517.000000	0.548330
1.260944	1.000000	6979.000000	0.601153
1.933385	1.000000	7291.000000	0.133620
1.732041	1.000000	7206.000000	1.361151
2.260272	1.000000	7885.000000	0.174614
1.263683	1.000000	8254.000000	0.636225
1.903545	1.000000	8685.000000	3.015184
