transmission	recovery	sampling	population_size	k
1.486848	0.762364	0.010783	19192.000000	0.657832
2.123782	0.479528	0.007695	15474.000000	2.280129
1.753329	0.477572	0.012651	30256.000000	0.464127
2.131478	0.007125	0.013699	26817.000000	1.105243
1.781835	0.308086	0.011761	29980.000000	1.165509
2.060548	0.080200	0.009310	66638.000000	0.289325
1.487988	0.114507	0.009532	13356.000000	4.197831
2.555607	0.655297	0.012953	20827.000000	1.335474
2.397786	0.196982	0.008671	21082.000000	3.051295
2.003417	0.478472	0.011351	39674.000000	0.603562
1.764255	0.330861	0.018425	20797.000000	1.069468
1.692124	0.366802	0.008015	8296.000000	0.284064
2.049870	0.363642	0.010995	22489.000000	0.304448
1.719084	0.632678	0.006830	17047.000000	4.675261
1.641383	0.520954	0.012531	15640.000000	1.878869
2.999974	0.653716	0.006248	133258.000000	0.447291
1.801307	0.731438	0.010276	16178.000000	1.158770
1.986513	0.492535	0.011884	25640.000000	0.430021
1.498060	0.422499	0.010111	33700.000000	6.474864
1.793266	0.786039	0.007228	21065.000000	1.354278
1.524718	0.278774	0.005532	8428.000000	0.244711
2.484431	0.352952	0.008839	7262.000000	0.278383
1.397729	0.240485	0.009491	28089.000000	0.369541
2.805008	0.004795	0.009646	38702.000000	0.750080
1.966800	0.712098	0.010283	18960.000000	0.417991
2.710265	0.716516	0.010218	32646.000000	0.163584
2.281620	0.047344	0.007492	32471.000000	1.544112
2.369666	0.142339	0.013944	24839.000000	1.474602
1.614233	0.221976	0.006677	38835.000000	1.143063
1.237042	0.341692	0.009230	12817.000000	1.952276
1.514579	0.494253	0.008858	75486.000000	1.767612
1.902599	0.315739	0.025064	14074.000000	1.175828
1.373160	0.501046	0.011135	60139.000000	8.536697
2.877251	0.449262	0.008399	17813.000000	0.512232
3.002867	0.730723	0.007608	13848.000000	1.154178
2.665432	0.495905	0.010968	35010.000000	2.335413
1.678104	0.089165	0.012158	39278.000000	0.813586
1.631923	0.062954	0.009019	53063.000000	0.500804
2.151311	0.084137	0.008783	21578.000000	0.153851
1.554615	0.415214	0.010065	23323.000000	1.044735
1.329379	0.734140	0.012022	14076.000000	0.136910
1.537843	0.612124	0.005425	19280.000000	1.904375
1.901513	0.571833	0.010529	17644.000000	0.453374
2.189538	0.366115	0.008189	19341.000000	0.965691
1.627684	0.314201	0.016147	18855.000000	1.057671
3.215034	0.110898	0.015174	11117.000000	1.818025
2.170843	0.613080	0.008126	25611.000000	0.655877
2.374697	0.011094	0.008769	28472.000000	0.165871
2.056637	0.564927	0.009327	12570.000000	4.975158
2.056707	0.714679	0.008167	16585.000000	1.252742
2.843554	0.310871	0.014185	19385.000000	0.872222
2.074274	0.180407	0.010989	34372.000000	0.217800
2.451627	0.513357	0.008329	21296.000000	4.224100
2.598323	0.774270	0.007971	33629.000000	1.607074
1.987807	0.280508	0.010649	13128.000000	2.283139
1.924372	0.735378	0.015157	26584.000000	1.866659
2.239211	0.427375	0.009345	14881.000000	1.643050
2.032464	0.231023	0.009044	17575.000000	0.485473
2.991654	0.545433	0.012138	45548.000000	0.581732
2.772229	0.124904	0.009607	15377.000000	0.991156
2.497916	0.464159	0.007514	19689.000000	0.657503
4.104662	0.176524	0.009452	18868.000000	1.604490
1.917505	0.588829	0.011101	14145.000000	0.523952
3.047870	0.322256	0.008238	17279.000000	1.609592
1.302236	0.177304	0.009102	18120.000000	0.047921
2.795485	0.250097	0.011164	22586.000000	2.954089
1.241878	0.260779	0.009499	16359.000000	2.356979
2.081404	0.467972	0.013929	15783.000000	2.922637
3.653708	0.600233	0.010527	19916.000000	0.535717
1.838063	0.675177	0.008088	33572.000000	1.807551
1.855481	0.603861	0.010824	31686.000000	1.284508
